"Assemblage","SC","m","Method","Order.q","qD","qD.LCL","qD.UCL","Site"
"Bac_002",0.0267823026840054,1,"Rarefaction",0,0.999999999999999,0.955167961865376,1.04483203813462,"3"
"Bac_002",0.55900023854369,77,"Rarefaction",0,47.6568748283692,45.2385944169938,50.0751552397447,"3"
"Bac_002",0.704710357349462,154,"Rarefaction",0,75.4526101894578,72.5881715869631,78.3170487919524,"3"
"Bac_002",0.787541220678158,231,"Rarefaction",0,94.7897567222301,91.7702652980468,97.8092481464135,"3"
"Bac_002",0.841018969150689,308,"Rarefaction",0,108.979623700573,105.891281710217,112.067965690929,"3"
"Bac_002",0.877652684336684,385,"Rarefaction",0,119.745602113193,116.619072674299,122.872131552087,"3"
"Bac_002",0.903743304456681,462,"Rarefaction",0,128.120948257603,124.969729126462,131.272167388744,"3"
"Bac_002",0.922881944786345,539,"Rarefaction",0,134.769065031316,131.599944314444,137.938185748189,"3"
"Bac_002",0.937259072969669,616,"Rarefaction",0,140.135461252657,136.950919427391,143.320003077922,"3"
"Bac_002",0.948274503715558,693,"Rarefaction",0,144.52976144656,141.328979790765,147.730543102354,"3"
"Bac_002",0.956757341458772,769,"Rarefaction",0,148.129972861681,144.910183521029,151.349762202334,"3"
"Bac_002",0.96355962038665,846,"Rarefaction",0,151.191193832738,147.948063946301,154.434323719174,"3"
"Bac_002",0.969002695780417,923,"Rarefaction",0,153.782697089438,150.512123378929,157.053270799948,"3"
"Bac_002",0.973407509199743,1000,"Rarefaction",0,155.996281133417,152.695002830603,159.29755943623,"3"
"Bac_002",0.977008932376388,1077,"Rarefaction",0,157.902514718486,154.568639348758,161.236390088214,"3"
"Bac_002",0.979981674524921,1154,"Rarefaction",0,159.556294210498,156.189505795466,162.92308262553,"3"
"Bac_002",0.982457530978761,1231,"Rarefaction",0,161.000788687407,157.602287225017,164.399290149797,"3"
"Bac_002",0.984537098725516,1308,"Rarefaction",0,162.270265267354,158.842514706323,165.698015828386,"3"
"Bac_002",0.986297943754247,1385,"Rarefaction",0,163.392162626217,159.938538413667,166.845786838768,"3"
"Bac_002",0.987800409300163,1462,"Rarefaction",0,164.388634797296,160.913039652182,167.864229942409,"3"
"Bac_002",0.989076220551095,1538,"Rarefaction",0,165.266782304941,161.773496657074,168.760067952809,"3"
"Bac_002",0.990195965674951,1615,"Rarefaction",0,166.064349295191,162.557056698581,169.571641891801,"3"
"Bac_002",0.991171371097879,1692,"Rarefaction",0,166.781351135685,163.263627399474,170.299074871897,"3"
"Bac_002",0.992026280219439,1769,"Rarefaction",0,167.427962549023,163.902839342984,170.953085755063,"3"
"Bac_002",0.992779894449035,1846,"Rarefaction",0,168.012705193699,164.48254040573,171.542869981669,"3"
"Bac_002",0.993447778108476,1923,"Rarefaction",0,168.542767446167,165.00914071774,172.076394174594,"3"
"Bac_002",0.994042625810227,2000,"Rarefaction",0,169.02425180332,165.487856542848,172.560647063792,"3"
"Bac_002",0.994574858243217,2077,"Rarefaction",0,169.462372523024,165.922868261913,173.001876784135,"3"
