"Assemblage","SC","m","Method","Order.q","qD","qD.LCL","qD.UCL","Type"
"Bac_002",0.0483657639972996,1,"Rarefaction",0,1,0.927164506490571,1.07283549350943,"leaf"
"Bac_002",0.736024514956279,85,"Rarefaction",0,40.1450804048182,38.1548085572094,42.135352252427,"leaf"
"Bac_002",0.871319552750999,170,"Rarefaction",0,55.9597363443643,53.848961753634,58.0705109350945,"leaf"
"Bac_002",0.927278378202732,255,"Rarefaction",0,64.2457307529054,62.1879286663025,66.3035328395083,"leaf"
"Bac_002",0.954852591149192,339,"Rarefaction",0,69.0910047624616,67.1297326857766,71.0522768391466,"leaf"
"Bac_002",0.97052880571685,424,"Rarefaction",0,72.2113097673492,70.3471121837336,74.0755073509649,"leaf"
"Bac_002",0.980039356118625,509,"Rarefaction",0,74.2855563534889,72.5078832109241,76.0632294960538,"leaf"
"Bac_002",0.986136489861482,594,"Rarefaction",0,75.7079713769373,74.0073419645814,77.4086007892932,"leaf"
"Bac_002",0.990165259643172,678,"Rarefaction",0,76.6945466556233,75.0643511257105,78.3247421855362,"leaf"
"Bac_002",0.992978575504607,763,"Rarefaction",0,77.405204804539,75.8428477748718,78.9675618342063,"leaf"
"Bac_002",0.99496711707782,848,"Rarefaction",0,77.9138011548815,76.4149312273726,79.4126710823905,"leaf"
"Bac_002",0.99638950627435,932,"Rarefaction",0,78.2744374074275,76.8294723639995,79.7194024508555,"leaf"
"Bac_002",0.997449355735695,1017,"Rarefaction",0,78.5345599268955,77.1238256300987,79.9452942236922,"leaf"
"Bac_002",0.998237291285437,1102,"Rarefaction",0,78.7166410489291,77.2717200415817,80.1615620562766,"leaf"
"Bac_002",0.998826166679807,1187,"Rarefaction",0,78.8405279975073,77.2029470635554,80.4781089314593,"leaf"
"Bac_002",0.999261257176655,1271,"Rarefaction",0,78.9201865183626,77.0498820136896,80.7904910230356,"leaf"
"Bac_002",0.99958805991898,1356,"Rarefaction",0,78.9685480202228,76.8971907231606,81.039905317285,"leaf"
"Bac_002",0.999827257796015,1441,"Rarefaction",0,78.9929766046362,76.7586880688586,81.2272651404137,"leaf"
"Bac_002",1,1527,"Observed",0,79,76.6400227475006,81.3599772524994,"leaf"
"Bac_002",0.0483657639972996,1,"Rarefaction",1,1,0.928377463967412,1.07162253603259,"leaf"
"Bac_002",0.736024514956279,85,"Rarefaction",1,27.5937080920029,25.6794877343265,29.5079284496794,"leaf"
"Bac_002",0.871319552750999,170,"Rarefaction",1,34.2104355894597,31.9836847250586,36.4371864538608,"leaf"
"Bac_002",0.927278378202732,255,"Rarefaction",1,37.188026409482,34.8008379185428,39.5752149004213,"leaf"
"Bac_002",0.954852591149192,339,"Rarefaction",1,38.8314858664812,36.351235289844,41.3117364431183,"leaf"
"Bac_002",0.97052880571685,424,"Rarefaction",1,39.8800276402789,37.3385788954088,42.421476385149,"leaf"
"Bac_002",0.980039356118625,509,"Rarefaction",1,40.5936743997265,38.0080404692791,43.179308330174,"leaf"
"Bac_002",0.986136489861482,594,"Rarefaction",1,41.1076345307416,38.4867800428833,43.7284890186,"leaf"
"Bac_002",0.990165259643172,678,"Rarefaction",1,41.4897851129887,38.8388977905818,44.1406724353955,"leaf"
"Bac_002",0.992978575504607,763,"Rarefaction",1,41.7904121657361,39.1116553607628,44.4691689707094,"leaf"
"Bac_002",0.99496711707782,848,"Rarefaction",1,42.0299586036976,39.3247076889925,44.7352095184028,"leaf"
"Bac_002",0.99638950627435,932,"Rarefaction",1,42.222903029433,39.4934324633744,44.9523735954915,"leaf"
"Bac_002",0.997449355735695,1017,"Rarefaction",1,42.384893397334,39.6361044894235,45.1336823052445,"leaf"
"Bac_002",0.998237291285437,1102,"Rarefaction",1,42.521182170157,39.7635308270923,45.2788335132216,"leaf"
"Bac_002",0.998826166679807,1187,"Rarefaction",1,42.6373453781437,39.8745944043117,45.4000963519757,"leaf"
"Bac_002",0.999261257176655,1271,"Rarefaction",1,42.7363790844628,39.9738699689189,45.4988882000068,"leaf"
"Bac_002",0.99958805991898,1356,"Rarefaction",1,42.8236859828493,40.0684176559122,45.5789543097863,"leaf"
"Bac_002",0.999827257796015,1441,"Rarefaction",1,42.9003514783868,40.152343222395,45.6483597343786,"leaf"
"Bac_002",1,1527,"Observed",1,42.9689521770627,40.1478724445973,45.7900319095281,"leaf"
"Bac_002",0.0483657639972996,1,"Rarefaction",2,1,0.930205241194311,1.06979475880569,"leaf"
"Bac_002",0.736024514956279,85,"Rarefaction",2,16.7893796925509,14.928247316798,18.6505120683039,"leaf"
"Bac_002",0.871319552750999,170,"Rarefaction",2,18.5310054195464,16.3069071225128,20.75510371658,"leaf"
"Bac_002",0.927278378202732,255,"Rarefaction",2,19.1947189273688,16.8055560018539,21.5838818528838,"leaf"
"Bac_002",0.954852591149192,339,"Rarefaction",2,19.5415762645058,17.0598484586369,22.0233040703746,"leaf"
"Bac_002",0.97052880571685,424,"Rarefaction",2,19.7588689677038,17.2168593341414,22.3008786012662,"leaf"
"Bac_002",0.980039356118625,509,"Rarefaction",2,19.9062894018096,17.3220948771565,22.4904839264626,"leaf"
"Bac_002",0.986136489861482,594,"Rarefaction",2,20.0128715408764,17.3971952648466,22.6285478169062,"leaf"
"Bac_002",0.990165259643172,678,"Rarefaction",2,20.0926858308685,17.4525218116767,22.7328498500603,"leaf"
"Bac_002",0.992978575504607,763,"Rarefaction",2,20.1560111419055,17.4954083017043,22.8166139821066,"leaf"
"Bac_002",0.99496711707782,848,"Rarefaction",2,20.2069293999739,17.528808773931,22.8850500260169,"leaf"
"Bac_002",0.99638950627435,932,"Rarefaction",2,20.2483128463948,17.5552283259258,22.9413973668639,"leaf"
"Bac_002",0.997449355735695,1017,"Rarefaction",2,20.2833622637882,17.57802721801,22.9886973095664,"leaf"
"Bac_002",0.998237291285437,1102,"Rarefaction",2,20.3130996311874,17.5998678463512,23.0263314160235,"leaf"
"Bac_002",0.998826166679807,1187,"Rarefaction",2,20.3386475239535,17.6209251526141,23.0563698952928,"leaf"
"Bac_002",0.999261257176655,1271,"Rarefaction",2,20.360588978219,17.6397900674307,23.0813878890073,"leaf"
"Bac_002",0.99958805991898,1356,"Rarefaction",2,20.3800640868033,17.6561044250931,23.1040237485135,"leaf"
"Bac_002",0.999827257796015,1441,"Rarefaction",2,20.3972725766483,17.6691873903796,23.125357762917,"leaf"
"Bac_002",1,1527,"Observed",2,20.412758581446,17.6449463033743,23.1805708595178,"leaf"
"Bac_004",0.0179508600565397,1,"Rarefaction",0,1,0.990828237843435,1.00917176215656,"leaf"
"Bac_004",0.697351147714309,96,"Rarefaction",0,52.8700726344583,50.8600690093531,54.8800762595635,"leaf"
"Bac_004",0.861947105119624,192,"Rarefaction",0,72.7256196095747,70.4335903858383,75.017648833311,"leaf"
"Bac_004",0.92590037194043,288,"Rarefaction",0,82.5244300241168,80.2999878913218,84.7488721569117,"leaf"
"Bac_004",0.956045950656217,384,"Rarefaction",0,88.0440545335471,85.9862329155257,90.1018761515685,"leaf"
"Bac_004",0.97219216070027,480,"Rarefaction",0,91.4235838123424,89.5290984576839,93.3180691670009,"leaf"
"Bac_004",0.9816976676295,576,"Rarefaction",0,93.6045190387203,91.8476405733229,95.3613975041176,"leaf"
"Bac_004",0.987682637749213,672,"Rarefaction",0,95.0564574722064,93.4143528933921,96.6985620510206,"leaf"
"Bac_004",0.991621905418779,768,"Rarefaction",0,96.0391918266194,94.4934742962756,97.5849093569631,"leaf"
"Bac_004",0.99428665919946,864,"Rarefaction",0,96.7088117060082,95.2392962134976,98.1783271985188,"leaf"
"Bac_004",0.996118002721569,960,"Rarefaction",0,97.1649001439689,95.7361147511506,98.5936855367872,"leaf"
"Bac_004",0.997386986621767,1056,"Rarefaction",0,97.473603775162,96.0039198753996,98.9432876749243,"leaf"
"Bac_004",0.998268940589603,1152,"Rarefaction",0,97.6800000066347,96.0279057059559,99.3320943073136,"leaf"
"Bac_004",0.998881229940721,1248,"Rarefaction",0,97.8153055360689,95.9591885588887,99.6714225132491,"leaf"
"Bac_004",0.999304193872202,1344,"Rarefaction",0,97.9013546620678,95.8336828672485,99.9690264568871,"leaf"
"Bac_004",0.999593671523971,1440,"Rarefaction",0,97.953510948592,95.6881135938404,100.218908303344,"leaf"
"Bac_004",0.999788911207937,1536,"Rarefaction",0,97.9826158887793,95.5588821806201,100.406349596939,"leaf"
"Bac_004",0.999917737681889,1632,"Rarefaction",0,97.9963190100612,95.4601610671125,100.53247695301,"leaf"
"Bac_004",1,1729,"Observed",0,98,95.3887485903,100.6112514097,"leaf"
"Bac_004",0.0179508600565397,1,"Rarefaction",1,1,0.99089019486606,1.00910980513394,"leaf"
"Bac_004",0.697351147714309,96,"Rarefaction",1,43.8151697411716,42.0441898841734,45.5861495981697,"leaf"
"Bac_004",0.861947105119624,192,"Rarefaction",1,56.1447393170778,54.1199888178481,58.1694898163075,"leaf"
"Bac_004",0.92590037194043,288,"Rarefaction",1,61.6826250914051,59.5774012974971,63.7878488853132,"leaf"
"Bac_004",0.956045950656217,384,"Rarefaction",1,64.746882798912,62.5965212338859,66.8972443639382,"leaf"
"Bac_004",0.97219216070027,480,"Rarefaction",1,66.6649848121534,64.4757229443815,68.8542466799254,"leaf"
"Bac_004",0.9816976676295,576,"Rarefaction",1,67.9674474820562,65.7404874490017,70.1944075151106,"leaf"
"Bac_004",0.987682637749213,672,"Rarefaction",1,68.9041913292978,66.639502458157,71.1688802004386,"leaf"
"Bac_004",0.991621905418779,768,"Rarefaction",1,69.6073337953551,67.3040390334537,71.9106285572565,"leaf"
"Bac_004",0.99428665919946,864,"Rarefaction",1,70.1529201772201,67.8099243258599,72.4959160285803,"leaf"
"Bac_004",0.996118002721569,960,"Rarefaction",1,70.5876467401466,68.204048631608,72.9712448486851,"leaf"
"Bac_004",0.997386986621767,1056,"Rarefaction",1,70.9416770023619,68.5147741397635,73.3685798649603,"leaf"
"Bac_004",0.998268940589603,1152,"Rarefaction",1,71.2352990911801,68.7671118003915,73.7034863819686,"leaf"
"Bac_004",0.998881229940721,1248,"Rarefaction",1,71.4826216545595,69.0321637578167,73.9330795513024,"leaf"
"Bac_004",0.999304193872202,1344,"Rarefaction",1,71.6937335798201,69.2524776509231,74.134989508717,"leaf"
"Bac_004",0.999593671523971,1440,"Rarefaction",1,71.8760241078878,69.4097058709789,74.3423423447966,"leaf"
"Bac_004",0.999788911207937,1536,"Rarefaction",1,72.0350190821362,69.5219231844067,74.5481149798657,"leaf"
"Bac_004",0.999917737681889,1632,"Rarefaction",1,72.1749265299661,69.6054429522094,74.7444101077227,"leaf"
"Bac_004",1,1729,"Observed",1,72.3002226953621,69.3983390711967,75.2021063195275,"leaf"
"Bac_004",0.0179508600565397,1,"Rarefaction",2,1,0.990986533257821,1.00901346674218,"leaf"
"Bac_004",0.697351147714309,96,"Rarefaction",2,35.4854810363586,33.7688906739743,37.2020713987429,"leaf"
"Bac_004",0.861947105119624,192,"Rarefaction",2,43.354418825587,41.1343269529402,45.5745106982338,"leaf"
"Bac_004",0.92590037194043,288,"Rarefaction",2,46.8148291952974,44.2971864788716,49.3324719117233,"leaf"
"Bac_004",0.956045950656217,384,"Rarefaction",2,48.7607936176846,46.045818247326,51.4757689880433,"leaf"
"Bac_004",0.97219216070027,480,"Rarefaction",2,50.0080117795083,47.1510066675508,52.8650168914657,"leaf"
"Bac_004",0.9816976676295,576,"Rarefaction",2,50.8755516920445,47.9095249032845,53.8415784808046,"leaf"
"Bac_004",0.987682637749213,672,"Rarefaction",2,51.5138831620391,48.4594075639142,54.5683587601639,"leaf"
"Bac_004",0.991621905418779,768,"Rarefaction",2,52.0032432413122,48.873157938976,55.1333285436485,"leaf"
"Bac_004",0.99428665919946,864,"Rarefaction",2,52.3903325730459,49.1922392030918,55.5884259430001,"leaf"
