"","Bac_001","Bac_002","Bac_003","Bac_004","Bac_005","Bac_006","Bac_007","Bac_008","Bac_009","Bac_010","Bac_011","Bac_012","Bac_013","Bac_014","Bac_015","Bac_016","Bac_017","Bac_018","Bac_019","Bac_020","Bac_021","Bac_022","Bac_023","Bac_024","Bac_025","Bac_026","Bac_027","Bac_028","Bac_029","Bac_030","Bac_032","Bac_033","Bac_034","Bac_035","Bac_036","Bac_037","Bac_038","Bac_039","Bac_040","Bac_041","Bac_042","Bac_043","Bac_044","Bac_045","Bac_046","Bac_047","Bac_048","Bac_049","Bac_050","Bac_051","Bac_052","Bac_053","Bac_054","Bac_055","Bac_056","Bac_057","Bac_058","Bac_059","Bac_060","Bac_061","Bac_062","Bac_063","Bac_064","Bac_065","Bac_066","Bac_068","Bac_069","Bac_070","Bac_071","Bac_072","Bac_073","Bac_074","Bac_075","Bac_076","Bac_077","Bac_078","Bac_079","Bac_080","Bac_081","Bac_082","Bac_083","Bac_084","Bac_085","Bac_086","Bac_087","Bac_088","Bac_089","Bac_090","Bac_091","Bac_092","Bac_093","Bac_094","Bac_095","Bac_096","Bac_097","Bac_098","Bac_099","Bac_100","Bac_101","Bac_102","Bac_103","Bac_104","Bac_105","Bac_106","Bac_107","Bac_108","Bac_109","Bac_110","Bac_111","Bac_112","Bac_113","Bac_114","Bac_115","Bac_116","Bac_117","Bac_118","Bac_119","Bac_120","Bac_121","Bac_122","Bac_123","Bac_124","Bac_125","Bac_126","Bac_127","Bac_128","Bac_129","Bac_130","Bac_131","Bac_132","Bac_133","Bac_134","Bac_135","Bac_136","Bac_137","Bac_138","Bac_139","Bac_140","Bac_141"
"73ec397d035244c7734fc7513050637d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,487,794,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14649,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1742,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
"55ff6faf3d171ef953a5f98ffa6d7dd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,506,523,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10678,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,30,18,0,0,0,0,0,0,0,0,0,0,15,0
"5cd4f595927078ff3a1e0feeaa29157f",39,97,145,111,18,0,141,133,0,0,0,0,0,0,23,0,0,16,19,0,0,0,8,0,10,7,0,12,0,0,51,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,29,0,0,0,0,187,264,48,0,594,0,818,137,0,0,0,0,0,0,0,0,37,0,224,0,0,0,0,0,0,0,0,0,78,0,213,224,50,409,196,0,0,131,13,0,103,87,0,192,0,0,0,100,0,0,89,0,0,0,284,63,1090,67,219,0,73,0,0,72,0,0,249,0,0,504,49,530,172,0,0,152,0,0,399,875,0,99,9,0,51,65
"7f11f029baed5633a044233c132fe992",0,0,0,0,0,0,0,0,0,0,0,29,70,27,18,20,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,229,0,0,202,0,15,11,0,0,0,47,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,163,498,266,0,813,0,725,30,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,332,194,0,1252,0,0,47,0,0,0,0,0,0,0,0,0,0,42,0,0,40,0,185,88,0,0,0,179,14,0,0,0,0,0,0,0,0,23,72,0,0
"fad50f143ebd5dfc60066f534061a2e2",0,0,0,0,0,11,0,0,0,0,25,0,240,27,0,100,0,251,97,99,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,237,0,0,287,0,54,0,0,0,0,166,0,0,0,0,34,0,216,0,0,0,0,0,0,901,0,0,84,166,84,0,115,0,297,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,165,0,104,0,95,240,0,0,0,237,81,0,0,0,0,0,0,0,0,0,0,0,0
"52831588c8137ab43d2c9765a2907043",4,12,11,3,0,8,8,24,0,0,0,0,6,5,0,47,22,0,0,130,11,0,97,0,30,37,4,75,0,23,7,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,15,0,0,13,17,35,0,13,19,27,0,45,30,33,50,0,0,0,0,0,0,0,0,59,0,157,0,0,0,0,0,0,184,23,7,281,0,423,130,91,62,240,10,7,254,252,0,44,39,0,4,0,0,0,114,0,0,60,22,0,2,75,43,115,41,217,0,31,0,0,0,0,25,9,19,0,41,35,14,0,0,0,191,0,0,207,162,0,78,8,4,57,100
"c6f1a66726b8d35c9843d60f694633bb",0,0,0,0,0,0,0,17,0,0,0,19,196,57,23,124,0,250,156,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,36,233,0,41,141,0,32,8,0,0,0,117,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,21,147,533,14,297,0,401,111,0,0,0,27,0,7,60,74,20,21,0,0,0,0,0,0,0,513,119,12,34,0,0,112,0,0,12,0,14,0,0,0,0,0,0,0,0,39,0,225,53,0,12,29,0,11,0,0,26,52,0,15,0,0,34,39,0,0
"c32e6d0ebe37ede482abf807f70f1dc6",0,0,0,0,0,0,0,0,0,0,0,0,106,37,49,76,0,102,90,37,47,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,23,99,0,15,107,0,43,7,0,0,0,97,0,0,0,0,0,0,369,0,0,0,0,0,0,891,37,0,95,128,66,29,93,0,245,163,0,0,0,0,0,0,0,0,24,0,0,29,0,0,65,131,0,373,373,0,29,7,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,103,83,0,0,0,0,0,0,0,0,0,0,0,0,0,17,63,0,0
"132398ae30585fc78b3f5712f4c1f5ed",0,0,0,0,0,24,0,0,0,37,0,0,0,0,0,0,16,0,10,212,75,85,0,37,0,0,13,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,74,20,0,0,0,0,0,76,0,0,228,0,70,0,0,0,0,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,400,0,0,167,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,124,91,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,19,0,0,9,0
"d8ec847a1b580b973a6d39850b67cff7",9,18,20,37,0,0,0,11,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,37,0,0,0,0,0,0,0,0,14,0,6,0,0,38,0,0,0,0,0,0,0,15,0,0,11,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,424,0,0,523,230,152,179,248,0,642,778,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,27,0,0,65,0,53,0,0,0,0,18,0,0,0,0,0,0,30,0,0
"2f148612ab1aebb0657a9b8ba0e92daa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0
