Date,Water_Depth,Area,δ13C,δ15N,HIX,BIX,POC,DOC,TDN,TDP
Day_0,surface water,1,NA,NA,4,0.7,71.8913,30.03233066,8.33,0.17
Day_0,surface water,2,NA,NA,4.69,0.65,539.24389,82.18449042,8.94,0.276
Day_0,surface water,3,NA,NA,3.28,0.67,308.06147,43.5234299,10.69,0.108
Day_0,surface water,4,NA,NA,2.36,0.82,249.496,43.23778011,17.55,0.121
Day_12,surface water,1,-25.4,NA,2.2,0.82,89.15750135,34.2276109,9.91,0.119
Day_12,hyporheic 5cm water,1,-25.39,NA,2.4,0.8,106.0693004,42.77288657,10.735,0.1225
Day_12,hyporheic 20cm water,1,-24.43,1.51,1.75,0.87,189.9828281,50.3471082,12.025,0.1485
Day_12,surface water,2,-25.13,1.17,3.8,0.68,229.7074055,94.86203265,9.31,0.2005
Day_12,surface water,3,NA,NA,2.29,0.76,148.5491744,49.82770719,8.88,0.1105
Day_12,hyporheic 5cm water,3,-26.32,2.08,2.98,0.76,260.1963094,55.18882888,11.69,0.1335
Day_12,hyporheic 20cm water,3,-25.68,2.19,1.98,0.86,151.5355019,52.08597243,10.06,0.1245
Day_12,surface water,4,-24.64,1.7,2.53,0.81,105.7670607,47.40233032,17.13,0.1175
Day_12,hyporheic 5cm water,4,-25.05,3.36,1.82,0.77,214.129457,77.67663416,22.36,0.2635
Day_12,hyporheic 20cm water,4,-24.92,3.31,2.05,0.81,3141.760024,60.8525581,19.43,0.1945
Day_30,surface water,1,-25.19,1.29,4.24,0.71,64.18819387,38.76722085,4.43,0.0755
Day_30,hyporheic 5cm water,1,NA,NA,NA,NA,NA,NA,NA,NA
Day_30,hyporheic 20cm water,1,-25.37,1.29,4.68,0.69,102.5842546,45.79610851,15.18,0.0965
Day_30,surface water,2,-26.92,-0.33,5.24,0.67,197.0786574,94.4196837,16.345,0.169
Day_30,surface water,3,-25.14,0.87,3.64,0.71,64.37137695,63.31674363,14.345,0.148
Day_30,hyporheic 5cm water,3,-23.88,1.81,2.62,0.76,125.111342,79.68907291,17.755,0.144
Day_30,hyporheic 20cm water,3,-27.13,1.22,3.44,0.78,266.9955041,69.9912713,15.425,0.123
Day_30,surface water,4,-24.93,1.67,3.64,0.77,164.6005921,74.28844704,44.475,0.182
Day_30,hyporheic 5cm water,4,-25.98,3.34,3.23,0.77,1801.682697,83.84271042,47.665,0.199
Day_30,hyporheic 20cm water ,4,-25.91,2.56,3.05,0.78,4538.278421,97.8062888,47.355,0.189
