"SampleID","Site","Type","Order.q","qD","qD.LCL","qD.UCL","SC_star"
"Euk_010","3","sediment_20",0,19.7164307449905,19.3917790310026,20.0410824589785,0.999
"Euk_010","3","sediment_20",1,14.0419794831827,13.6847410479624,14.3992179184031,0.999
"Euk_010","3","sediment_20",2,11.2744594667487,10.7752204086247,11.7736985248728,0.999
"Euk_017","3","sediment_20",0,37.2650481729085,36.6641175790499,37.865978766767,0.999
"Euk_017","3","sediment_20",1,28.3497680433099,28.0064048978959,28.693131188724,0.999
"Euk_017","3","sediment_20",2,23.7681833682125,23.2560138515157,24.2803528849093,0.999
"Euk_020","3","sediment_20",0,89.3720665827217,88.221539060609,90.5225941048344,0.999
"Euk_020","3","sediment_20",1,63.7837751588223,63.1782524595858,64.3892978580587,0.999
"Euk_020","3","sediment_20",2,51.4176914604427,50.521361710959,52.3140212099265,0.999
"Euk_022","3","sediment_20",0,37.8158788400652,37.3385110456194,38.2932466345111,0.999
"Euk_022","3","sediment_20",1,29.2214386723488,28.9066085023628,29.5362688423348,0.999
"Euk_022","3","sediment_20",2,25.0814161566871,24.6496195565538,25.5132127568204,0.999
"Euk_023","3","sediment_5",0,52.0561931547,49.7477384782352,54.3646478311648,0.999
"Euk_023","3","sediment_5",1,25.75784941155,25.3591911442512,26.1565076788489,0.999
"Euk_023","3","sediment_5",2,21.0554364966176,20.5972212251632,21.513651768072,0.999
"Euk_024","3","sediment_5",0,46.1846230280365,45.2726834094645,47.0965626466084,0.999
"Euk_024","3","sediment_5",1,31.4674965942996,31.059284181536,31.8757090070632,0.999
"Euk_024","3","sediment_5",2,25.5483723349892,24.9978622419091,26.0988824280693,0.999
"Euk_025","3","sediment_5",0,57.2074985222548,55.1115116492423,59.3034853952674,0.999
"Euk_025","3","sediment_5",1,29.8591372753209,29.4152534968347,30.303021053807,0.999
"Euk_025","3","sediment_5",2,24.7210055460945,24.2236595341644,25.2183515580245,0.999
"Euk_027","3","sediment_5",0,57.1405968468864,56.3838888360463,57.8973048577264,0.999
"Euk_027","3","sediment_5",1,35.046437600432,34.4847122706044,35.6081629302595,0.999
"Euk_027","3","sediment_5",2,25.9245923288505,25.2079910160328,26.6411936416682,0.999
"Euk_028","3","sediment_5",0,51.9635260988714,49.1126782268683,54.8143739708746,0.999
"Euk_028","3","sediment_5",1,23.1597275057672,22.7136642991692,23.6057907123652,0.999
"Euk_028","3","sediment_5",2,17.7977434164341,17.3233173009949,18.2721695318733,0.999
"Euk_030","3","sediment_5",0,40.3840466832184,39.0033872201097,41.764706146327,0.999
"Euk_030","3","sediment_5",1,22.7182415951215,22.3773190663518,23.0591641238913,0.999
"Euk_030","3","sediment_5",2,18.6536273390581,18.2742922668614,19.0329624112548,0.999
"Euk_090","3","tile_l",0,45.5440097076791,44.5043876419891,46.5836317733691,0.999
"Euk_090","3","tile_l",1,24.9640215165514,24.4756700372164,25.4523729958863,0.999
"Euk_090","3","tile_l",2,17.8171059109149,17.2420519433265,18.3921598785032,0.999
"Euk_091","3","tile_l",0,24.3496159316351,23.7432600388181,24.9559718244521,0.999
"Euk_091","3","tile_l",1,14.0039386373321,13.7342319154426,14.2736453592216,0.999
"Euk_091","3","tile_l",2,11.3535792339199,11.0727353045147,11.6344231633252,0.999
"Euk_092","3","tile_l",0,79.8232067546425,77.8689244136089,81.777489095676,0.999
"Euk_092","3","tile_l",1,41.3515329933132,40.7914298479628,41.9116361386636,0.999
"Euk_092","3","tile_l",2,32.721027589251,32.1439720097687,33.2980831687333,0.999
"Euk_093","3","tile_l",0,63.5894955666826,62.090541585527,65.0884495478383,0.999
"Euk_093","3","tile_l",1,38.3349736156023,37.7609929681642,38.9089542630404,0.999
"Euk_093","3","tile_l",2,31.1542071976895,30.5262219221549,31.7821924732241,0.999
"Euk_096","3","tile_l",0,67.7045798665204,65.3138229435084,70.0953367895324,0.999
"Euk_096","3","tile_l",1,31.0646899583063,30.6182449176289,31.5111349989838,0.999
"Euk_096","3","tile_l",2,24.3813758169737,23.8864301641905,24.8763214697569,0.999
"Euk_097","3","tile_l",0,95.3835931183114,92.785865083231,97.9813211533917,0.999
"Euk_097","3","tile_l",1,46.1256509766527,45.468910032705,46.7823919206003,0.999
"Euk_097","3","tile_l",2,33.9783770269755,33.3029636962369,34.6537903577141,0.999
"Euk_114","3","tile_d",0,34.7229847162627,33.4364981394463,36.0094712930791,0.999
"Euk_114","3","tile_d",1,16.7124608583467,16.397253542852,17.0276681738413,0.999
"Euk_114","3","tile_d",2,13.0855914102645,12.7477298833578,13.4234529371712,0.999
"Euk_117","3","tile_d",0,78.3015982924031,75.462163601372,81.1410329834341,0.999
"Euk_117","3","tile_d",1,40.2315536597351,39.6460398096128,40.8170675098574,0.999
"Euk_117","3","tile_d",2,32.7586656254091,32.1831591933797,33.3341720574385,0.999
"Euk_119","3","tile_d",0,12.5787588497881,10.0567187079091,15.1007989916671,0.999
"Euk_119","3","tile_d",1,7.31988287653041,7.11012776189716,7.52963799116366,0.999
"Euk_119","3","tile_d",2,6.40479843645184,6.18266747696947,6.6269293959342,0.999
"Euk_134","3","tile_d",0,42.5761213491473,40.6943369752256,44.4579057230689,0.999
"Euk_134","3","tile_d",1,17.085092475543,16.757057965464,17.413126985622,0.999
"Euk_134","3","tile_d",2,12.8697366894318,12.5559391600028,13.1835342188608,0.999
"Euk_137","3","tile_d",0,50.1511478886829,48.3672462616103,51.9350495157555,0.999
"Euk_137","3","tile_d",1,27.2728830439284,26.891600348959,27.6541657388979,0.999
"Euk_137","3","tile_d",2,23.1398703703506,22.7167756890578,23.5629650516434,0.999
"Euk_138","3","tile_d",0,36.3874477661972,34.3674493649911,38.4074461674034,0.999
"Euk_138","3","tile_d",1,19.0858311743759,18.7715749552925,19.4000873934592,0.999
"Euk_138","3","tile_d",2,16.3287455029681,15.9622816398068,16.6952093661294,0.999
"Euk_012","2","tile_d",0,53.4568802676093,51.2272856640421,55.6864748711766,0.999
"Euk_012","2","tile_d",1,21.9339493841392,21.5057261632165,22.3621726050619,0.999
"Euk_012","2","tile_d",2,15.4587635861831,14.9146155521001,16.0029116202662,0.999
"Euk_015","2","tile_d",0,60.9757736017606,57.4152443247854,64.5363028787358,0.999
"Euk_015","2","tile_d",1,25.9781817642285,25.470155931861,26.4862075965961,0.999
"Euk_015","2","tile_d",2,20.5635426668737,20.1092560379047,21.0178292958427,0.999
"Euk_045","2","tile_l",0,131.41009833721,127.231601535417,135.588595139004,0.999
"Euk_045","2","tile_l",1,40.1811687123979,39.5969038340863,40.7654335907095,0.999
"Euk_045","2","tile_l",2,28.2316826750831,27.6120633930113,28.8513019571549,0.999
"Euk_046","2","tile_l",0,14.8706136203297,13.0948006580046,16.6464265826549,0.999
"Euk_046","2","tile_l",1,5.78094311817538,5.51915230815498,6.04273392819577,0.999
"Euk_046","2","tile_l",2,4.62467535791849,4.41492020998024,4.83443050585674,0.999
"Euk_047","2","tile_l",0,48.7354510094551,46.8333366989098,50.6375653200005,0.999
"Euk_047","2","tile_l",1,20.6251318141407,20.1356299384006,21.1146336898808,0.999
"Euk_047","2","tile_l",2,14.998669749222,14.5678055081621,15.4295339902818,0.999
"Euk_048","2","tile_l",0,109.285504965588,106.077333870254,112.493676060922,0.999
"Euk_048","2","tile_l",1,45.8285006334218,45.2409333915192,46.4160678753244,0.999
"Euk_048","2","tile_l",2,32.6634245385558,32.091611971737,33.2352371053746,0.999
"Euk_051","2","tile_l",0,31.7976776720805,27.3629544455904,36.2324008985706,0.999
"Euk_051","2","tile_l",1,12.1288587669169,11.6621865188306,12.5955310150032,0.999
"Euk_051","2","tile_l",2,8.89755526772753,8.49055773159299,9.30455280386207,0.999
"Euk_082","2","leaf",0,22.3098732098049,21.6137351880246,23.0060112315851,0.999
"Euk_082","2","leaf",1,11.2592318096736,11.0252459847988,11.4932176345484,0.999
"Euk_082","2","leaf",2,9.25236930537766,8.99787355858696,9.50686505216836,0.999
"Euk_094","2","tile_l",0,45.4664744235895,43.3789251736914,47.5540236734876,0.999
"Euk_094","2","tile_l",1,19.4866883080819,19.0608677536524,19.9125088625114,0.999
"Euk_094","2","tile_l",2,13.7028728794187,13.2771073975637,14.1286383612737,0.999
"Euk_135","2","tile_d",0,154.719466268571,150.666807745001,158.77212479214,0.999
"Euk_135","2","tile_d",1,53.7024021176348,53.0123627859174,54.3924414493522,0.999
"Euk_135","2","tile_d",2,37.6560371312681,36.9224707332088,38.3896035293273,0.999
"Euk_136","2","tile_d",0,106.651428504051,102.930298165557,110.372558842545,0.999
"Euk_136","2","tile_d",1,36.6419194107756,36.069544334487,37.2142944870641,0.999
"Euk_136","2","tile_d",2,25.5038866682253,24.8477658375854,26.1600074988653,0.999
"Euk_141","2","tile_d",0,69.9317487507818,67.8717551213887,71.9917423801748,0.999
"Euk_141","2","tile_d",1,39.0857602865073,38.4966274929347,39.6748930800799,0.999
"Euk_141","2","tile_d",2,31.2610433135427,30.6476771920221,31.8744094350633,0.999
"Euk_142","2","tile_d",0,288.889222471107,282.147324458937,295.631120483278,0.999
"Euk_142","2","tile_d",1,79.724199000939,78.7936817241537,80.6547162777242,0.999
"Euk_142","2","tile_d",2,53.7185534720113,52.866428224455,54.5706787195677,0.999
"Euk_013","1","tile_d",0,82.0889715802593,79.9021412698515,84.2758018906672,0.999
