#SampleID,SampleName,Description,Type,Site,replicate,replicate2
Euk_001,T019,leaf_4,leaf,4,1,1
Euk_002,T018,leaf_3,leaf,3,2,3
Euk_003,T021,leaf_4,leaf,4,1,3
Euk_004,T020,leaf_4,leaf,4,1,2
Euk_005,T015,leaf_3,leaf,3,1,3
Euk_006,T100,sediment_20_3,sediment_20,3,2,2
Euk_007,T017,leaf_3,leaf,3,2,2
Euk_008,T016,leaf_3,leaf,3,2,1
Euk_010,T099,sediment_20_3,sediment_20,3,2,1
Euk_011,T101,sediment_20_3,sediment_20,3,2,3
Euk_012,T055,tile_d_2,tile_d,2,1,1
Euk_013,T054,tile_d_1,tile_d,1,2,3
Euk_014,T052,tile_d_1,tile_d,1,2,1
Euk_015,T056,tile_d_2,tile_d,2,1,2
Euk_016,T050,tile_d_1,tile_d,1,1,2
Euk_017,T096,sediment_20_3,sediment_20,3,1,1
Euk_018,T053,tile_d_1,tile_d,1,2,2
Euk_019,T051,tile_d_1,tile_d,1,1,3
Euk_020,T097,sediment_20_3,sediment_20,3,1,2
Euk_021,T095,sediment_20_1,sediment_20,1,2,3
Euk_022,T098,sediment_20_3,sediment_20,3,1,3
Euk_023,T082,sediment_5_3,sediment_5,3,2,2
Euk_024,T081,sediment_5_3,sediment_5,3,2,1
Euk_025,T080,sediment_5_3,sediment_5,3,1,3
Euk_026,T084,sediment_5_4,sediment_5,4,1,1
Euk_027,T083,sediment_5_3,sediment_5,3,2,3
Euk_028,T078,sediment_5_3,sediment_5,3,1,1
Euk_030,T079,sediment_5_3,sediment_5,3,1,2
Euk_034,T012,leaf_2,leaf,2,2,3
Euk_035,T011,leaf_2,leaf,2,2,2
Euk_036,T009,leaf_2,leaf,2,1,3
Euk_037,T014,leaf_3,leaf,3,1,2
Euk_038,T013,leaf_3,leaf,3,1,1
Euk_039,T008,leaf_2,leaf,2,1,2
Euk_041,T010,leaf_2,leaf,2,2,1
Euk_042,T093,sediment_20_1,sediment_20,1,2,1
Euk_043,T092,sediment_20_1,sediment_20,1,1,3
Euk_044,T094,sediment_20_1,sediment_20,1,2,2
Euk_045,T033,tile_l_2,tile_l,2,1,3
Euk_046,T031,tile_l_2,tile_l,2,1,1
Euk_047,T035,tile_l_2,tile_l,2,2,2
Euk_048,T034,tile_l_2,tile_l,2,2,1
Euk_049,T029,tile_l_1,tile_l,1,2,2
Euk_051,T032,tile_l_2,tile_l,2,1,2
Euk_052,T030,tile_l_1,tile_l,1,2,3
Euk_056,T048,tile_l_4,tile_l,4,2,3
Euk_057,T047,tile_l_4,tile_l,4,2,2
Euk_058,T045,tile_l_4,tile_l,4,1,3
Euk_059,T049,tile_d_1,tile_d,1,1,1
Euk_060,T043,tile_l_4,tile_l,4,1,1
Euk_061,T089,sediment_5_4,sediment_5,4,2,3
Euk_062,T046,tile_l_4,tile_l,4,2,1
Euk_063,T044,tile_l_4,tile_l,4,1,2
Euk_064,T090,sediment_20_1,sediment_20,1,1,1
Euk_065,T088,sediment_5_4,sediment_5,4,2,2
Euk_066,T091,sediment_20_1,sediment_20,1,1,2
Euk_075,T102,sediment_20_4,sediment_20,4,1,1
Euk_079,T005,leaf_1,leaf,1,2,2
Euk_080,T004,leaf_1,leaf,1,2,1
Euk_081,T002,leaf_1,leaf,1,1,2
