"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"34018731a44c2b7b307d25c7693d02d6","d__Eukaryota","Platyhelminthes","Rhabditophora","Lecithoepitheliata","Lecithoepitheliata","Lecithoepitheliata","Geocentrophora_sp."
"a83475e69a1b7407e66b906877dae83e","d__Eukaryota","Platyhelminthes","Rhabditophora","Lecithoepitheliata","Lecithoepitheliata","Lecithoepitheliata","Geocentrophora_sp."
"501ac33089d62ff3787e7aa1db7213ea","d__Eukaryota","Phragmoplastophyta","Embryophyta","Magnoliophyta","Magnoliophyta","Magnoliophyta",NA
"3878b37b0d612ecd7542a4e6612df0e0","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"3ef78055927802d0f2e2f07a9a57850c","d__Eukaryota","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"c0a4934010fd1aa59d6babb40dd7f630","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera","Pedosphaera_parvula"
"aecc5918fd8dc2b6ec5115c02e519e22","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"e1b1ede819104b16f8ed41b4bb7f43f7","d__Eukaryota","Diatomea",NA,NA,NA,NA,NA
"b37b8bc6c4a02bda91142937cdfc6b90","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera","Pedosphaera_parvula"
"1a25e823a5619e74a82f6c502fee92db","d__Eukaryota","Apicomplexa","Conoidasida","Gregarinasina","Eugregarinorida","Ascogregarina",NA
"f6f1052c83f13300bd49d5385d3f5287","d__Eukaryota",NA,NA,NA,NA,NA,NA
"9e607d3e8dcf0e08451166fed423ccfe","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
"73c1c0199ce1c8272d3d63cf9d689ed6","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"3a786296ccd1963cc7671ca9506be318","d__Eukaryota","Platyhelminthes","Rhabditophora",NA,NA,NA,NA
"a9301f416d77311f67271d101af65fdc","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"949a5a04270714e92a4bbded79dc2cc9","d__Eukaryota","Gastrotricha","Gastrotricha","Chaetonotida","Chaetonotida","Chaetonotida","uncultured_eukaryote"
"edfb424ca01aa2cbf657a35849379ba2","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
