,Kingdom,Phylum,Class,Order,Family,Genus,Species
a83475e69a1b7407e66b906877dae83e,d__Eukaryota,Platyhelminthes,Rhabditophora,Lecithoepitheliata,Lecithoepitheliata,Lecithoepitheliata,Geocentrophora_sp.
c0a4934010fd1aa59d6babb40dd7f630,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaera,Pedosphaera_parvula
aecc5918fd8dc2b6ec5115c02e519e22,d__Eukaryota,Diatomea,NA,NA,NA,NA,NA
e1b1ede819104b16f8ed41b4bb7f43f7,d__Eukaryota,Diatomea,NA,NA,NA,NA,NA
b37b8bc6c4a02bda91142937cdfc6b90,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaera,Pedosphaera_parvula
f6f1052c83f13300bd49d5385d3f5287,d__Eukaryota,NA,NA,NA,NA,NA,NA
a9301f416d77311f67271d101af65fdc,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
edfb424ca01aa2cbf657a35849379ba2,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
cec14987f76c1c7ee7c1ce23a10822bb,d__Eukaryota,Diatomea,NA,NA,NA,NA,NA
e74745a0b989ac76b64dca4eaca17e1e,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
fd3a8425d9bb2c32943dbcb47d8a23bb,d__Eukaryota,Diatomea,NA,NA,NA,NA,NA
b459a7138b2fa346b463fa4b166ba6a4,d__Eukaryota,Chlorophyta,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,NA
ef09bf89410ff8bea3fbfa758a6d5cca,d__Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Schlesneria,uncultured_bacterium
c765846fff12a2fe7b4fd776dd821b6f,d__Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
eb7ab50a9350589ef7135a7902c3b56d,d__Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,invertebrate_environmental
c6b619196ce46e188162e7383c34bb54,d__Eukaryota,Vertebrata,Mammalia,Mammalia,Mammalia,Mammalia,NA
