"SampleID","Site","Type","Order.q","qD","qD.LCL","qD.UCL","SC_star"
"T001","1","leaf",0,92.3324681483105,90.2448120780944,94.4201242185266,0.999
"T001","1","leaf",1,33.6002097130643,32.4916562430922,34.7087631830365,0.999
"T001","1","leaf",2,19.4361785319707,18.5298035437238,20.3425535202176,0.999
"T002","1","leaf",0,401.568824912403,397.174058087193,405.963591737613,0.999
"T002","1","leaf",1,75.3253477591009,74.0486625924754,76.6020329257264,0.999
"T002","1","leaf",2,29.0942828895444,28.4455256469611,29.7430401321277,0.999
"T003","1","leaf",0,202.363306944647,198.751220174728,205.975393714566,0.999
"T003","1","leaf",1,30.9926882259017,30.573679595017,31.4116968567865,0.999
"T003","1","leaf",2,15.7950172872147,15.5751386686885,16.014895905741,0.999
"T004","1","leaf",0,149.741182184344,147.340736459123,152.141627909565,0.999
"T004","1","leaf",1,46.9112877571064,45.6237069522391,48.1988685619737,0.999
"T004","1","leaf",2,25.1581488686878,24.3046316201754,26.0116661172003,0.999
"T005","1","leaf",0,55.8136822025865,52.7509309032089,58.8764335019642,0.999
"T005","1","leaf",1,22.9157023794942,21.8711971365678,23.9602076224206,0.999
"T005","1","leaf",2,14.265590510068,13.3760107636493,15.1551702564867,0.999
"T006","1","leaf",0,65.9477813772297,64.0072025837376,67.8883601707218,0.999
"T006","1","leaf",1,14.3783622204408,13.8719204873237,14.8848039535579,0.999
"T006","1","leaf",2,7.98297120286959,7.73058610347649,8.23535630226269,0.999
"T025","1","tile_l",0,458.146219118394,451.668074806224,464.624363430563,0.999
"T025","1","tile_l",1,129.371994773202,126.668259660041,132.075729886362,0.999
"T025","1","tile_l",2,49.5649650822774,47.8076193072602,51.3223108572946,0.999
"T027","1","tile_l",0,63.964997716177,58.5604341592111,69.3695612731428,0.999
"T027","1","tile_l",1,31.4399894641808,29.217416020488,33.6625629078735,0.999
"T027","1","tile_l",2,18.4791817299818,16.6132538132949,20.3451096466687,0.999
"T028","1","tile_l",0,255.112237718729,252.88285212187,257.341623315589,0.999
"T028","1","tile_l",1,49.1271952950146,47.3557978447415,50.8985927452877,0.999
"T028","1","tile_l",2,9.24735923975066,8.83853835916922,9.6561801203321,0.999
"T029","1","tile_l",0,346.376332129429,339.814815429632,352.937848829225,0.999
"T029","1","tile_l",1,106.114704154865,102.920047311273,109.309360998458,0.999
"T029","1","tile_l",2,46.7846390704712,44.7901856492123,48.7790924917301,0.999
