"Assemblage","SC","m","Method","Order.q","qD","qD.LCL","qD.UCL","Site"
"Fun_001",0.072395120824579,1,"Rarefaction",0,1.0000045546893,0.970273033048306,1.02973607633029,4
"Fun_001",0.624209479096247,26,"Rarefaction",0,15.077320291436,14.3414629051811,15.8131776776909,4
"Fun_001",0.74417855077189,52,"Rarefaction",0,23.1208014891121,22.1326146873234,24.1089882909009,4
"Fun_001",0.80237612093886,77,"Rarefaction",0,28.7562170827784,27.6268247658365,29.8856093997204,4
"Fun_001",0.840767350634626,103,"Rarefaction",0,33.380965687826,32.1316551161542,34.6302762594978,4
"Fun_001",0.867267938060524,129,"Rarefaction",0,37.1704203901743,35.8096817673741,38.5311590129746,4
"Fun_001",0.885959936649931,154,"Rarefaction",0,40.2534601627607,38.7923290207721,41.7145913047493,4
"Fun_001",0.900784588425887,180,"Rarefaction",0,43.0248633403911,41.4677231330368,44.5820035477453,4
"Fun_001",0.911977872181462,205,"Rarefaction",0,45.3657303646137,43.7249784260659,47.0064823031616,4
"Fun_001",0.921352203908073,231,"Rarefaction",0,47.5328806839515,45.8140585348626,49.2517028330405,4
"Fun_001",0.929030721977229,257,"Rarefaction",0,49.4785925774273,47.6900985315568,51.2670866232978,4
"Fun_001",0.93521129362942,282,"Rarefaction",0,51.1765259434714,49.3283329619537,53.0247189249892,4
"Fun_001",0.940677000069984,308,"Rarefaction",0,52.7908404044112,50.8874873130967,54.6941934957257,4
"Fun_001",0.945372768878924,334,"Rarefaction",0,54.2730614654442,52.321061062868,56.2250618680204,4
"Fun_001",0.949307985408124,359,"Rarefaction",0,55.5904612426955,53.5973929658593,57.5835295195316,4
"Fun_001",0.952910844610653,385,"Rarefaction",0,56.8624403689222,54.8321750452634,58.892705692581,4
"Fun_001",0.955986163121335,410,"Rarefaction",0,58.0020431546563,55.940944856058,60.0631414532546,4
"Fun_001",0.958846836721405,436,"Rarefaction",0,59.109961553379,57.0215424859734,61.1983806207846,4
"Fun_001",0.961416706420507,462,"Rarefaction",0,60.1472415243848,58.0359492951879,62.2585337535816,4
"Fun_001",0.963653712366075,487,"Rarefaction",0,61.0845392656766,58.9550825683752,63.213995962978,4
"Fun_001",0.965770531832732,513,"Rarefaction",0,62.0026517061905,59.8579274754463,64.1473759369347,4
"Fun_001",0.967630514734334,538,"Rarefaction",0,62.8357352339948,60.6794817542527,64.9919887137368,4
"Fun_001",0.969405270976559,564,"Rarefaction",0,63.6548276262649,61.4895343048759,65.8201209476538,4
"Fun_001",0.971036668699374,590,"Rarefaction",0,64.4296051875708,62.2579626005618,66.6012477745799,4
"Fun_001",0.972485563431941,615,"Rarefaction",0,65.1360724183512,62.9605954608309,67.3115493758714,4
"Fun_001",0.973881480159829,641,"Rarefaction",0,65.8337677964144,63.6564009990268,68.011134593802,4
"Fun_001",0.975176167214285,667,"Rarefaction",0,66.4964581351275,64.3190985914793,68.6738176787758,4
"Fun_001",0.976335258715575,692,"Rarefaction",0,67.1029785605035,64.9272099520517,69.2787471689552,4
