"Assemblage","SC","m","Method","Order.q","qD","qD.LCL","qD.UCL","Type"
"Fun_001",0.192250835203812,1,"Rarefaction",0,1.00001278667848,0.929142449707723,1.07088312364923,"leaf"
"Fun_001",0.861637238888405,79,"Rarefaction",0,22.5709969952598,20.9506794632563,24.1913145272633,"leaf"
"Fun_001",0.930079259153394,157,"Rarefaction",0,30.243123243667,28.4435355332873,32.0427109540468,"leaf"
"Fun_001",0.957126747996628,235,"Rarefaction",0,34.5228658995411,32.5371005918033,36.5086312072788,"leaf"
"Fun_001",0.970774233324923,313,"Rarefaction",0,37.2881666216176,35.1657213788883,39.410611864347,"leaf"
"Fun_001",0.978630928640679,391,"Rarefaction",0,39.2400354900781,37.035001922675,41.4450690574812,"leaf"
"Fun_001",0.98361839708345,469,"Rarefaction",0,40.701524542498,38.4550510309362,42.9479980540599,"leaf"
"Fun_001",0.987039760764237,547,"Rarefaction",0,41.8399701346166,39.5840430668828,44.0958972023503,"leaf"
"Fun_001",0.989537474268955,625,"Rarefaction",0,42.7500579723293,40.5108147914534,44.9893011532052,"leaf"
"Fun_001",0.991455741286856,703,"Rarefaction",0,43.4892797824222,41.2873425929003,45.6912169719442,"leaf"
"Fun_001",0.992992257215241,781,"Rarefaction",0,44.0945520121534,41.9422456719297,46.246858352377,"leaf"
"Fun_001",0.994267096710647,859,"Rarefaction",0,44.5906609551072,42.481504944346,46.6998169658684,"leaf"
"Fun_001",0.995356597448014,937,"Rarefaction",0,44.9948649403688,42.871181728323,47.1185481524145,"leaf"
"Fun_001",0.996311301910862,1015,"Rarefaction",0,45.3195457649896,42.9853959407192,47.6536955892599,"leaf"
"Fun_001",0.997165987923838,1093,"Rarefaction",0,45.5737987238473,42.6973350292141,48.4502624184805,"leaf"
"Fun_001",0.997945446158575,1171,"Rarefaction",0,45.764419118445,42.183991544347,49.3448466925431,"leaf"
"Fun_001",0.998667841828841,1249,"Rarefaction",0,45.896539821557,41.4769682062203,50.3161114368938,"leaf"
"Fun_001",0.999346673213668,1327,"Rarefaction",0,45.9740661867214,40.6555180219116,51.2926143515313,"leaf"
"Fun_001",1,1407,"Observed",0,46,39.7601013708958,52.2398986291042,"leaf"
"Fun_001",0.192250835203812,1,"Rarefaction",1,1.00001188009043,0.93374860573464,1.06627515444622,"leaf"
"Fun_001",0.861637238888405,79,"Rarefaction",1,10.1942812943619,9.22665079697007,11.1619117917538,"leaf"
"Fun_001",0.930079259153394,157,"Rarefaction",1,11.4976818609133,10.4334584788299,12.5619052429967,"leaf"
"Fun_001",0.957126747996628,235,"Rarefaction",1,12.0527252814961,10.9366877943962,13.168762768596,"leaf"
"Fun_001",0.970774233324923,313,"Rarefaction",1,12.3598859435695,11.2119395985124,13.5078322886266,"leaf"
"Fun_001",0.978630928640679,391,"Rarefaction",1,12.5545656226764,11.3854735705013,13.7236576748515,"leaf"
"Fun_001",0.98361839708345,469,"Rarefaction",1,12.6888398516315,11.5047491018614,13.8729306014016,"leaf"
"Fun_001",0.987039760764237,547,"Rarefaction",1,12.7869510239936,11.5916127279011,13.9822893200861,"leaf"
"Fun_001",0.989537474268955,625,"Rarefaction",1,12.8616901660525,11.6576085345343,14.0657717975707,"leaf"
"Fun_001",0.991455741286856,703,"Rarefaction",1,12.9204391067538,11.7094522435633,14.1314259699443,"leaf"
"Fun_001",0.992992257215241,781,"Rarefaction",1,12.967756133531,11.7512804484988,14.1842318185632,"leaf"
"Fun_001",0.994267096710647,859,"Rarefaction",1,13.0066087809789,11.7856465914976,14.2275709704602,"leaf"
"Fun_001",0.995356597448014,937,"Rarefaction",1,13.0390126824339,11.8140911662964,14.2639341985714,"leaf"
"Fun_001",0.996311301910862,1015,"Rarefaction",1,13.0663855155951,11.8369422418111,14.2958287893791,"leaf"
"Fun_001",0.997165987923838,1093,"Rarefaction",1,13.0897538836066,11.8472000077434,14.3323077594698,"leaf"
"Fun_001",0.997945446158575,1171,"Rarefaction",1,13.1098797084596,11.8511923851587,14.3685670317605,"leaf"
"Fun_001",0.998667841828841,1249,"Rarefaction",1,13.1273404880557,11.8585210550014,14.39615992111,"leaf"
