,SampleName,Description,Type,Site,replicate,d15N,d13C,HIX,BIX,POC,DOC,TN,TP,Temp,DO,EC,qpcr
Fun_001,T019,leaf_4,leaf,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,506.3224839
Fun_002,T018,leaf_3,leaf,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,9811.135028
Fun_003,T021,leaf_4,leaf,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,824.2993463
Fun_004,T020,leaf_4,leaf,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,980.8767517
Fun_005,T015,leaf_3,leaf,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,3475.280127
Fun_006,T100,sediment_20_3,sediment_20,3,2,1.2241429,-27.13443,3.44,0.78,267,70,15.43,0.12,14.1,10.05,6.65,0.101356818
Fun_007,T017,leaf_3,leaf,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,4091.745229
Fun_008,T016,leaf_3,leaf,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,6725.444621
Fun_009,T099,sediment_20_3,sediment_20,3,2,1.2241429,-27.13443,3.44,0.78,267,70,15.43,0.12,14.1,10.05,6.65,
Fun_010,T101,sediment_20_3,sediment_20,3,2,1.2241429,-27.13443,3.44,0.78,267,70,15.43,0.12,14.1,10.05,6.65,
Fun_011,T055,tile_d_2,tile_d,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,0.908539271
Fun_012,T054,tile_d_1,tile_d,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,19.17306266
Fun_013,T052,tile_d_1,tile_d,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,0.225942876
Fun_014,T056,tile_d_2,tile_d,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,0.562648684
Fun_015,T050,tile_d_1,tile_d,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,0.449449167
Fun_016,T096,sediment_20_3,sediment_20,3,1,1.2241429,-27.13443,3.44,0.78,267,70,15.43,0.12,14.1,10.05,6.65,0.206087568
Fun_017,T053,tile_d_1,tile_d,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,0.430238122
Fun_018,T051,tile_d_1,tile_d,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,0.109554968
Fun_019,T097,sediment_20_3,sediment_20,3,1,1.2241429,-27.13443,3.44,0.78,267,70,15.43,0.12,14.1,10.05,6.65,
Fun_020,T095,sediment_20_1,sediment_20,1,2,1.2911429,-25.36543,4.68,0.69,102.58,46,15.18,0.1,7.8,10.79,2.33,0.354241807
Fun_021,T098,sediment_20_3,sediment_20,3,1,1.2241429,-27.13443,3.44,0.78,267,70,15.43,0.12,14.1,10.05,6.65,0.378760373
Fun_022,T082,sediment_5_3,sediment_5,3,2,1.8071429,-23.87843,2.62,0.76,125.11,80,17.76,0.14,14.1,10.05,6.65,30.25040999
Fun_023,T081,sediment_5_3,sediment_5,3,2,1.8071429,-23.87843,2.62,0.76,125.11,80,17.76,0.14,14.1,10.05,6.65,55.97233855
Fun_024,T080,sediment_5_3,sediment_5,3,1,1.8071429,-23.87843,2.62,0.76,125.11,80,17.76,0.14,14.1,10.05,6.65,1.548779614
Fun_025,T084,sediment_5_4,sediment_5,4,1,3.3371429,-25.98343,3.23,0.77,1801.68,84,47.67,0.2,12.8,9.91,13.73,0.953275428
Fun_026,T083,sediment_5_3,sediment_5,3,2,1.8071429,-23.87843,2.62,0.76,125.11,80,17.76,0.14,14.1,10.05,6.65,0.188947437
Fun_027,T078,sediment_5_3,sediment_5,3,1,1.8071429,-23.87843,2.62,0.76,125.11,80,17.76,0.14,14.1,10.05,6.65,28.05261754
Fun_028,T079,sediment_5_3,sediment_5,3,1,1.8071429,-23.87843,2.62,0.76,125.11,80,17.76,0.14,14.1,10.05,6.65,0.128211449
Fun_029,T012,leaf_2,leaf,2,2,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,4642.8796
Fun_030,T009,leaf_2,leaf,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,5102.961287
Fun_031,T014,leaf_3,leaf,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,5177.303653
Fun_032,T013,leaf_3,leaf,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,2272.298438
Fun_033,T008,leaf_2,leaf,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,7400.049035
Fun_034,T093,sediment_20_1,sediment_20,1,2,1.2911429,-25.36543,4.68,0.69,102.58,46,15.18,0.1,7.8,10.79,2.33,
Fun_035,T092,sediment_20_1,sediment_20,1,1,1.2911429,-25.36543,4.68,0.69,102.58,46,15.18,0.1,7.8,10.79,2.33,
Fun_036,T094,sediment_20_1,sediment_20,1,2,1.2911429,-25.36543,4.68,0.69,102.58,46,15.18,0.1,7.8,10.79,2.33,
Fun_037,T033,tile_l_2,tile_l,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,1.404150762
Fun_038,T031,tile_l_2,tile_l,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,1.095524504
Fun_039,T035,tile_l_2,tile_l,2,2,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,0.677136148
Fun_040,T034,tile_l_2,tile_l,2,2,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,2.961574445
Fun_041,T029,tile_l_1,tile_l,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,3.377288479
Fun_042,T032,tile_l_2,tile_l,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,1.846127245
Fun_043,T030,tile_l_1,tile_l,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,6.61265647
Fun_044,T048,tile_l_4,tile_l,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,143.7161844
Fun_045,T047,tile_l_4,tile_l,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,53.00070318
