,Kingdom,Phylum,Class,Order,Family,Genus,Species
9ca5226623712b9a5948a240677726b8,Fungi,NA,NA,NA,NA,NA,NA
ea9b2e23bef0d023435d6e19d5e5168f,Fungi,NA,NA,NA,NA,NA,NA
2efd560ba594ed187f4be435bb9dce61,Fungi,NA,NA,NA,NA,NA,NA
993e1e8a8a851a61a7cae4745e4cfe98,Fungi,NA,NA,NA,NA,NA,NA
4d146d5d3a8027a4419ad3d213bf4ba1,Fungi,NA,NA,NA,NA,NA,NA
f07634576cd6be3cc2ecd91986c6404b,Fungi,NA,NA,NA,NA,NA,NA
dc4df8569d662ce7f46ee3afa6bea755,Fungi,NA,NA,NA,NA,NA,NA
097d9ba3cac63c0d6fd58893ce79bd07,Fungi,NA,NA,NA,NA,NA,NA
39ec0a4dbc451da929c6fe86c07545fd,Fungi,NA,NA,NA,NA,NA,NA
8562e8cfc32650047fe1e840d7aef8e1,Fungi,NA,NA,NA,NA,NA,NA
6e50a8c7e7e56c1b4870c5e8bafc366d,Fungi,NA,NA,NA,NA,NA,NA
3baaad7409fd57f0ce3703c7447dedf9,Fungi,NA,NA,NA,NA,NA,NA
fb5a5ecb7a6ac5deb0446c20386d4f56,Fungi,NA,NA,NA,NA,NA,NA
667689ffbd0a40e975a8edc6bc09b997,Fungi,NA,NA,NA,NA,NA,NA
05e877e0b7c9d465dd15595514243344,Fungi,NA,NA,NA,NA,NA,NA
58746911c18867335c93a498c7791445,Fungi,NA,NA,NA,NA,NA,NA
3bd0ecfef4d5b5151da0f47bdca5c233,Fungi,NA,NA,NA,NA,NA,NA
7528003889410649a9b43cc40b3fd400,Fungi,NA,NA,NA,NA,NA,NA
ed7fce1a3796405f2f398c3db6c1f40d,Fungi,NA,NA,NA,NA,NA,NA
3df84d53d94f2efec19ffdb6e0b036b2,Fungi,NA,NA,NA,NA,NA,NA
425032dfd4828e9b3c3bb9d1293bb45f,Fungi,NA,NA,NA,NA,NA,NA
20d3920aae70f1ab02edaeb4ac86a123,Fungi,NA,NA,NA,NA,NA,NA
404ef502b3889de5f0b9d7684d721980,Fungi,NA,NA,NA,NA,NA,NA
b8853a9f6bda5e349f14cbbde51e6f67,Fungi,NA,NA,NA,NA,NA,NA
96737f64bc92b6239d1f5c3038f44b18,Fungi,NA,NA,NA,NA,NA,NA
6ffc93c9c21deb662f61934c2316daf4,Fungi,NA,NA,NA,NA,NA,NA
2631e9d4284e62859e909044c99e5f5b,Fungi,NA,NA,NA,NA,NA,NA
b510913947c84bef9ca2218135a53489,Fungi,NA,NA,NA,NA,NA,NA
479f283da7762604fb705e53aae96a7a,Fungi,NA,NA,NA,NA,NA,NA
548f9d012a31d18d43d4a7e3b06a8847,Fungi,NA,NA,NA,NA,NA,NA
3302006dd4fec3f5aa6d90c16d209c98,Fungi,NA,NA,NA,NA,NA,NA
9aba305b8fc2d7b9df77aa48962b7a67,Fungi,NA,NA,NA,NA,NA,NA
dd4fbfd74d87e716b39d042629270396,Fungi,NA,NA,NA,NA,NA,NA
ae4cd1e6de240de2d857d6ff52f8bbd8,Fungi,NA,NA,NA,NA,NA,NA
73e9c4ad9ca8dea5c18fc198ece782b6,Fungi,NA,NA,NA,NA,NA,NA
704210c66646262a8d195556576844bd,Fungi,NA,NA,NA,NA,NA,NA
2342c3125153ab5f5129224cd696d818,Fungi,NA,NA,NA,NA,NA,NA
bd4234587291303e2e5f3bbc7721f1c8,Fungi,NA,NA,NA,NA,NA,NA
0ee9f051e501aec1b2f3281a6a27476f,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp
6d079d5b9ea1d2ee7401b1e431e8266e,Fungi,NA,NA,NA,NA,NA,NA
55a46f28b59472e942001b09186f61e0,Fungi,NA,NA,NA,NA,NA,NA
302dde36f5117937c18e9e38f8d087cc,Fungi,NA,NA,NA,NA,NA,NA
81d54e7408545cb655c29b5bbfba1fd8,Fungi,NA,NA,NA,NA,NA,NA
c1c5fea83a2023b57c9951c045df9e32,Fungi,NA,NA,NA,NA,NA,NA
39d3cb7501d2f7d39a598a2ff142deb1,Fungi,NA,NA,NA,NA,NA,NA
4c1c31d812e124be28259d939712c0a1,Fungi,NA,NA,NA,NA,NA,NA
5102906f001706bbe1be58d135c8cf7e,Fungi,NA,NA,NA,NA,NA,NA
060ad44e87e0cdff36f90810e3a42217,Fungi,NA,NA,NA,NA,NA,NA
a9ee58df9682417aa6c544568ea51b96,Fungi,NA,NA,NA,NA,NA,NA
3f97d518c02794e7a94b311c89a3ca2a,Fungi,NA,NA,NA,NA,NA,NA
d592bfca12b69129652d63cf813384db,Fungi,NA,NA,NA,NA,NA,NA
3b13045c23dfe0a945f84fd219bfeb84,Fungi,NA,NA,NA,NA,NA,NA
094ebed1777d196417871906e9d17171,Fungi,NA,NA,NA,NA,NA,NA
d0ff0206ca4ae3c408cd84cc89ef9759,Fungi,NA,NA,NA,NA,NA,NA
7941a5075fbf954a795316329e64e8e6,Fungi,NA,NA,NA,NA,NA,NA
2dd47402f9dd769e1c8b2a3b6f29d12a,Fungi,NA,NA,NA,NA,NA,NA
96a70cb55c3147400dd07c53b15651bf,Fungi,NA,NA,NA,NA,NA,NA
deabd266a0d7a24d758d9b0f180af388,Fungi,NA,NA,NA,NA,NA,NA
2aeda3eef760c9414ad5793f82be5ca5,Fungi,NA,NA,NA,NA,NA,NA
c499694be1e0a8872c896f3cfceb8fe3,Fungi,NA,NA,NA,NA,NA,NA
3b6a07fe8644575a73476651091a458c,Fungi,NA,NA,NA,NA,NA,NA
efcac9a10d0a4341dce6e981b29cebce,Fungi,NA,NA,NA,NA,NA,NA
dc5dbe45b886f51a2d4229c798b98852,Fungi,NA,NA,NA,NA,NA,NA
a2cdd3ee9a727154e5b5c3fccf5743fa,Fungi,NA,NA,NA,NA,NA,NA
6ab6b987f6525d0cc4017c0ef63f3e2a,Fungi,NA,NA,NA,NA,NA,NA
e04b83a3816494f0750fbd31cf575708,Fungi,NA,NA,NA,NA,NA,NA
ceebd927a1845fa24bb35b5948309a51,Fungi,NA,NA,NA,NA,NA,NA
ba9a437d94280d8398737e325bdd8575,Fungi,NA,NA,NA,NA,NA,NA
f5a025fa9b82d9343bfbac71930a9090,Fungi,NA,NA,NA,NA,NA,NA
8f9394cc6d18c5db43e4b62dfb86f852,Fungi,NA,NA,NA,NA,NA,NA
62e39c1d9c8fca8ef65b136c1cd9725f,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
0e6ecf74b20ca167f82cfc3dc3989400,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
d921fb57c5418d95727c67df7330afb7,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
305dfecf3cde0c5864b3729f541c8ebc,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
fde299e7200d025162a506a65176921b,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
281635af729e0e96f8da4fb729871de5,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
f4924e97411ae9cf40114ad089b1e4f8,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
800069fdc81111be7f409d0e7cba7096,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
a790143d729af9e951d45af1efb0a828,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
d19fc966820bf1e633fa24bc6bbea93a,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
