ASV,Bac_002,Bac_004,Bac_007,Bac_008,Bac_012,Bac_013,Bac_015,Bac_016,Bac_017,Bac_018,Bac_019,Bac_020,Bac_021,Bac_022,Bac_023,Bac_024,Bac_026,Bac_027,Bac_028,Bac_030,Bac_039,Bac_044,Bac_045,Bac_046,Bac_047,Bac_048,Bac_050,Bac_051,Bac_055,Bac_056,Bac_058,Bac_059,Bac_060,Bac_061,Bac_062,Bac_063,Bac_065,Bac_072,Bac_076,Bac_077,Bac_078,Bac_079,Bac_080,Bac_081,Bac_082,Bac_083,Bac_084,Bac_086,Bac_087,Bac_088,Bac_089,Bac_090,Bac_091,Bac_093,Bac_094,Bac_098,Bac_099,Bac_101,Bac_102,Bac_103,Bac_105,Bac_106,Bac_110,Bac_112,Bac_113,Bac_114,Bac_121,Bac_122,Bac_123,Bac_124,Bac_125,Bac_126,Bac_127,Bac_129,Bac_131,Bac_132,Bac_133,Bac_134,Bac_135,Bac_137,Bac_138,Bac_139,Bac_140,Bac_141
fad50f143ebd5dfc60066f534061a2e2,0,0,0,0,0,240,0,100,0,251,97,99,0,111,0,0,0,0,0,0,0,0,0,0,0,237,0,287,0,0,166,0,0,0,0,34,216,0,84,166,84,0,115,0,297,208,0,0,0,0,0,0,0,0,0,0,0,272,69,0,0,0,0,0,0,0,104,0,95,240,0,0,0,81,0,0,0,0,0,0,0,0,0,0
c32e6d0ebe37ede482abf807f70f1dc6,0,0,0,0,0,106,49,76,0,102,90,37,47,0,0,0,0,0,0,6,0,14,0,0,23,99,15,107,0,0,97,0,0,0,0,0,369,0,95,128,66,29,93,0,245,163,0,0,0,0,0,0,0,0,0,65,131,373,373,0,7,0,0,0,0,0,23,0,103,83,0,0,0,0,0,0,0,0,0,0,17,63,0,0
132398ae30585fc78b3f5712f4c1f5ed,0,0,0,0,0,0,0,0,16,0,10,212,75,85,0,37,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,228,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,400,0,167,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,0
d8ec847a1b580b973a6d39850b67cff7,18,37,0,11,0,12,0,0,0,12,0,0,0,0,0,37,0,0,0,0,38,0,0,0,15,0,11,0,0,0,0,0,222,0,0,0,0,0,523,230,152,179,248,0,642,778,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,65,0,53,0,0,18,0,0,0,0,0,30,0,0
bb6cffbd750dd68856a8f953f207e12b,0,0,0,0,0,56,0,64,0,150,61,0,13,0,0,0,0,0,0,0,0,0,0,0,83,196,42,85,0,0,79,0,0,0,0,0,424,0,86,73,105,0,87,0,462,95,0,0,0,0,0,0,45,0,0,0,0,266,98,0,0,0,0,0,0,0,68,0,100,154,0,0,0,26,0,20,15,0,0,0,0,75,6,0
7ef1a0dae839d9d8f6a042cdf4a6a992,0,0,0,0,0,0,0,0,21,0,0,28,56,110,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,64,201,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,79,149,8,290,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
7da83bf0ed37b029b57059c335b5e835,0,0,0,0,0,42,0,23,14,46,53,93,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,23,0,0,31,0,0,0,0,229,51,0,24,51,61,0,38,0,68,81,0,0,0,0,0,0,0,0,0,162,206,731,267,0,17,0,0,0,0,0,0,0,19,23,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2df133d83b53d33a81a3fc48ac2075c6,0,33,25,0,47,21,42,0,0,0,0,0,0,0,0,34,0,0,0,0,39,102,48,76,110,24,106,0,0,0,0,22,0,0,0,0,0,29,29,26,0,194,31,18,58,21,27,32,0,10,0,13,57,10,11,0,0,24,0,0,0,20,19,17,30,0,0,0,0,0,45,0,16,0,34,85,65,32,28,31,94,217,25,0
ed894aad9c149829ff0253eb2fe043d9,0,0,0,0,0,91,0,20,0,83,43,0,0,0,0,0,0,0,0,0,0,16,0,0,25,50,12,60,0,0,49,0,0,0,0,0,112,17,88,122,52,13,126,0,193,128,0,0,10,0,0,0,18,0,0,48,131,350,146,8,0,7,8,0,7,6,13,8,28,54,17,6,11,0,11,0,15,11,0,0,20,35,0,0
2c1b14313bb8fc6f13f02a14ca5e7c50,17,25,14,17,23,42,29,25,0,36,28,0,0,21,18,0,6,0,9,10,22,53,22,40,55,28,37,29,0,0,24,21,89,0,0,0,0,13,146,128,28,77,54,18,334,139,0,0,0,0,11,0,28,25,10,0,0,30,41,41,0,0,27,40,0,13,9,0,22,45,38,10,46,22,0,42,35,16,0,0,36,129,21,0
