ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
fad50f143ebd5dfc60066f534061a2e2,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
c32e6d0ebe37ede482abf807f70f1dc6,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,uncultured,uncultured_bacterium
132398ae30585fc78b3f5712f4c1f5ed,d__Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,uncultured_bacterium
d8ec847a1b580b973a6d39850b67cff7,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella,NA
bb6cffbd750dd68856a8f953f207e12b,d__Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema_CCAP_1459-11B,uncultured_bacterium
7ef1a0dae839d9d8f6a042cdf4a6a992,d__Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
7da83bf0ed37b029b57059c335b5e835,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
2df133d83b53d33a81a3fc48ac2075c6,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA
ed894aad9c149829ff0253eb2fe043d9,d__Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,uncultured,uncultured_bacterium
2c1b14313bb8fc6f13f02a14ca5e7c50,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
11e801efba707866d1e97aba33566102,d__Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema_CCAP_1459-11B,NA
ebff2c84f781472a24018db9354b867c,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,NA
cc3bbc2fa5dcf3ca93a25f5da49d7d1d,d__Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
554e6ed34da09de9e9a60029b084f4c6,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,A0839,uncultured_bacterium
929562c168b0ee4d183e52aa04193df8,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
5342d4711395d118f0217964e6068eb3,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
3195352ebd3b497af5329b6d9bb0ad49,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,uncultured,uncultured_Alphaproteobacteria
34b00032b86600c60881db7136a38c3d,d__Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,NA
70285f7e5298ef76c6079d23decbae2d,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,uncultured,NA
ae101a824af3ec1acd53410b8ebf41e7,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
