Site,Category,n_nodes,n_edges,density,transitivity,mean_deg,pos_ratio,neg_ratio,hub_rel5p
All,Bac_Bac,335,9549,0.17,0.55,57.01,0.76,0.24,0.05
All,Fun_Fun,242,3993,0.14,0.53,33.00,0.84,0.16,0.05
All,Bac_Fun,570,9028,0.06,0,31.68,0.62,0.38,0.05
All,Bac_Euk,42,45,0.05,0,2.14,1,0,0.10
All,Fun_Euk,81,116,0.04,0,2.86,1,0,0.06
All,Euk_Euk,4,2,0.33,0,1,1,0,1.00
Site1,Bac_Bac,218,4878,0.21,0.49,44.8,0.65,0.35,0.05
Site1,Fun_Fun,177,3099,0.20,0.44,35.0,0.70,0.30,0.07
Site1,Bac_Fun,396,6456,0.08,0.00,32.6,0.41,0.59,0.05
Site1,Bac_Euk,0,0,0,,0,,,
Site1,Fun_Euk,0,0,0,,0,,,
Site1,Euk_Euk,0,0,0,,0,,,
Site2,Bac_Bac,187,5116,0.29,0.49,54.7,0.65,0.35,0.05
Site2,Fun_Fun,175,3827,0.25,0.43,43.7,0.65,0.35,0.06
Site2,Bac_Fun,362,8528,0.13,0,47.1,0.31,0.69,0.05
Site2,Bac_Euk,48,47,0.04,0,2.0,0.32,0.68,1
Site2,Fun_Euk,36,35,0.06,0,1.9,0.60,0.40,1
Site2,Euk_Euk,0,0,0,,0.0,,,
Site3,Bac_Bac,199,5165,0.26,0.53,51.9,0.56,0.44,0.05
Site3,Fun_Fun,198,6401,0.33,0.53,64.7,0.54,0.46,0.06
Site3,Bac_Fun,397,10778,0.14,0,54.3,0.43,0.57,0.06
Site3,Bac_Euk,109,211,0.04,0,3.9,0.64,0.36,0.37
Site3,Fun_Euk,124,221,0.03,0,3.6,0.44,0.56,0.31
Site3,Euk_Euk,3,3,1,1,2,0.33,0.67,1
Site4,Bac_Bac,230,5696,0.22,0.58,49.5,0.77,0.23,0.05
Site4,Fun_Fun,202,4398,0.22,0.52,43.5,0.74,0.26,0.05
Site4,Bac_Fun,432,9059,0.10,0,41.9,0.33,0.67,0.05
Site4,Bac_Euk,112,178,0.03,0,3.2,0.31,0.69,0.11
Site4,Fun_Euk,101,175,0.03,0,3.5,0.89,0.11,0.14
Site4,Euk_Euk,4,2,0.33,0,1,1,0,1
