ASV,Euk_010,Euk_012,Euk_013,Euk_014,Euk_015,Euk_016,Euk_017,Euk_018,Euk_019,Euk_020,Euk_022,Euk_023,Euk_024,Euk_025,Euk_026,Euk_027,Euk_028,Euk_030,Euk_045,Euk_046,Euk_047,Euk_048,Euk_049,Euk_051,Euk_052,Euk_056,Euk_057,Euk_058,Euk_059,Euk_060,Euk_061,Euk_062,Euk_063,Euk_064,Euk_066,Euk_075,Euk_079,Euk_080,Euk_081,Euk_082,Euk_083,Euk_084,Euk_086,Euk_087,Euk_089,Euk_090,Euk_091,Euk_092,Euk_093,Euk_094,Euk_096,Euk_097,Euk_101,Euk_102,Euk_104,Euk_105,Euk_106,Euk_108,Euk_109,Euk_113,Euk_114,Euk_115,Euk_116,Euk_117,Euk_119,Euk_124,Euk_125,Euk_126,Euk_127,Euk_128,Euk_129,Euk_130,Euk_132,Euk_134,Euk_135,Euk_136,Euk_137,Euk_138,Euk_140,Euk_141,Euk_142,Euk_143
aecc5918fd8dc2b6ec5115c02e519e22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,252,320,0,717,0,610,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e1b1ede819104b16f8ed41b4bb7f43f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,680,470,355,247,0,402
cec14987f76c1c7ee7c1ce23a10822bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,720,686,0,0,0,0,0,0,0,0,0
fd3a8425d9bb2c32943dbcb47d8a23bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,488,321,226,0,0,450
b459a7138b2fa346b463fa4b166ba6a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,935,210,0,0,0,482,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eb7ab50a9350589ef7135a7902c3b56d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0
cb6129f86fb8626fe960499435dbd788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,485,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f65ed4629d96d1fb498494b5c107ca8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4a99d51913edeeba959082b8acd1e04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3da99c83c706b8b9592019fdceb729d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
