ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
aecc5918fd8dc2b6ec5115c02e519e22,Eukaryota,Diatomea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
e1b1ede819104b16f8ed41b4bb7f43f7,Eukaryota,Diatomea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
cec14987f76c1c7ee7c1ce23a10822bb,Eukaryota,Diatomea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
fd3a8425d9bb2c32943dbcb47d8a23bb,Eukaryota,Diatomea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
b459a7138b2fa346b463fa4b166ba6a4,Eukaryota,Chlorophyta,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,Unassigned
eb7ab50a9350589ef7135a7902c3b56d,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,invertebrate_environmental
cb6129f86fb8626fe960499435dbd788,Eukaryota,Ochrophyta,Chrysophyceae,Chrysophyceae,Chrysophyceae,Chrysophyceae,Unassigned
f65ed4629d96d1fb498494b5c107ca8d,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Encyonema,uncultured_Encyonema
f4a99d51913edeeba959082b8acd1e04,Eukaryota,Chlorophyta,Chlorophyceae,Chlorophyceae,Chlorophyceae,Chlorophyceae,Unassigned
a3da99c83c706b8b9592019fdceb729d,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Encyonema,uncultured_Encyonema
f7bdde3f07f7ee15c1fde09bfac94a0e,Eukaryota,Apicomplexa,Conoidasida,Gregarinasina,Eugregarinorida,Ascogregarina,Unassigned
c83f07becec41dc1f7adc383b7ea617e,Eukaryota,Apicomplexa,Conoidasida,Gregarinasina,Eugregarinorida,Ascogregarina,Unassigned
e578e7b22331edfc1681c5b946b8b8c4,Eukaryota,Ochrophyta,Chrysophyceae,Chrysophyceae,Chrysophyceae,Chrysophyceae,Hydrurus_foetidus
af6abaa826f375f330fbe66ac9f32e1b,Eukaryota,Centrohelida,Centrohelida,Centrohelida,Unassigned,Unassigned,Unassigned
fed7190db2184d5513659f6e65aa8db8,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Sellaphora,Unassigned
ccc720a3e12bb96378801466c449705a,Eukaryota,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Mychonastes,Unassigned
dc595bb58c5ebb8ed1f831c315d592dd,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Sellaphora,Unassigned
bcea5587df4b14c88227cc20392cd8e3,Eukaryota,Ochrophyta,Chrysophyceae,Chrysophyceae,Chrysophyceae,Chrysophyceae,Unassigned
c617f0c48033f63674bf0127c3038d92,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Sellaphora,Unassigned
d2242e9c141882df9145fd0741f59cf0,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Unassigned,Unassigned,Unassigned
b39fe26c5ad0a2ce9ca75812b611cc7b,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Unassigned,Unassigned
a889e6e5168140ddd6f02eaa2400f4bf,Eukaryota,Euglenozoa,Kinetoplastea,Unassigned,Unassigned,Unassigned,Unassigned
be478af9006aeec31aafe512aa421805,Eukaryota,Chlorophyta,Chlorophyceae,Chlorophyceae,Chlorophyceae,Chlorophyceae,Unassigned
a29f59f6329b6f1c84415d48916090c6,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Unassigned,Unassigned
b3aaa5c4e66d314c39997e428c6b7c0b,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Sellaphora,Unassigned
c4b31199fed9f9def0baa7b15a39a302,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Unassigned,Unassigned
ef015ff04531f517abd67f8a32af797f,Eukaryota,Ochrophyta,Chrysophyceae,Chrysophyceae,Chrysophyceae,Chrysophyceae,uncultured_Hydrurus
dc724f18fff564f6c9b589e02678cbbe,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Unassigned,Unassigned,Unassigned
e303e5417aa3fb292440e15eb502e5a1,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Unassigned,Unassigned,Unassigned
a151e8224754c2b8339d235ec8cd8c97,Eukaryota,Euglenozoa,Kinetoplastea,Unassigned,Unassigned,Unassigned,Unassigned
d808be29304862bf408083d6a6ca674b,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Sellaphora,Unassigned
ac130a87e48f91c02ff63628abafab70,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Unassigned,Unassigned
e436209d2d2e41b312a552b6d7d0d7a5,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Unassigned,Unassigned
b5b994bf814fb4503ea084c2a0f84bc6,Eukaryota,Euglenozoa,Kinetoplastea,Neobodonida,Neobodonida,Neobodonida,Rhynchobodo_sp.
b5e7baf37bd2b12dc3814bc561ea7990,Eukaryota,Euglenozoa,Kinetoplastea,Neobodonida,Neobodonida,Rhynchomonas,Thalassiosira_rotula
ba52527e4da2eeb1426f7210e3a016f7,Eukaryota,Euglenozoa,Kinetoplastea,Neobodonida,Neobodonida,Neobodonida,Rhynchobodo_sp.
f8c80ef32e5ee76774b25cbd7bba4a01,Eukaryota,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Mychonastes,uncultured_Chlorophyta
e84cdf2de1f23cd2f2ff97f01672bfb4,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Unassigned,Unassigned,Unassigned
f5bf0e7b1ebb90dc250b3244f7380dac,Eukaryota,Ciliophora,Postciliodesmatophora,Heterotrichea,Heterotrichea,Stentor,Stentor_roeselii
c10d38ad5c75866bfead97c456e9a05f,Eukaryota,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Mychonastes,uncultured_Chlorophyta
beaaf2c249c0253ab5641aed4f6b335d,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Unassigned,Unassigned
a37ae300805533aa65048cf7cd791d4a,Eukaryota,Ciliophora,Postciliodesmatophora,Heterotrichea,Heterotrichea,Stentor,Stentor_roeselii
db963588a99dfa3aedada81bca9f80ca,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,uncultured_freshwater
