ASV,T001,T002,T003,T004,T005,T006,T007,T012,T013,T016,T018,T019,T023,T024,T025,T027,T028,T029,T030,T031,T032,T033,T034,T035,T037,T038,T039,T040,T041,T042,T043,T044,T045,T046,T047,T048,T049,T050,T051,T053,T054,T055,T056,T057,T058,T059,T060,T061,T062,T063,T064,T065,T066,T067,T069,T070,T071,T072,T073,T074,T075,T076,T077,T078,T080,T081,T082,T084,T085,T086,T087,T089,T090,T094,T096,T102,T103,T105
0159fbde605b8b7ea2b1304bfd276b82,0,14,0,4,0,0,0,0,0,0,0,0,0,0,56,4,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,99,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,803,530,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0167ba52b37db72a6e74b1ffdf1e8c7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,131,0,0,2362,17,0,0,0,0,0,83,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,11,11,0,0,0
01eac8bbcb29488982fcff6a1bc04847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,65,218,0,15,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,106,133,59,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,56,17,0,0,0
02366a28671be3d5b7de54f132fdabe0,0,0,0,0,0,0,0,0,26,21,41,0,0,0,0,0,0,0,0,0,0,0,0,0,30,57,62,61,220,137,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,126,34,203,0,20,0,0,0,0,0,0,0,0,0,0,59,93,0,34,0,0,0,0,0,0,0,0,0,0,0
0524318733f878058e4606b2306dc1a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,152,64,0,9,0,0,268,208,173,0,0,170,0,0,0,0,0,0,0,0,119,0,1158,175,354,24,340,0,0,1642,0,0,11,44,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06cfcbf25674fdf39cf677004d947765,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,9,38,82,185,94,0,205,482,0,156,499,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
06e6ea6ae4b943568ace88db8128520b,204,673,4865,0,0,39,11,0,0,0,0,0,29,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,9,116,66,0,0,0,32,34,0,0,0,98,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,64,79,0,0,0,0,73,0
06f8d41be81eaee8ce118fd6a6917570,0,5,4,0,0,2,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,8,4,61,20,27,0,0,77,11,160,11,22,573,17,66,7,13,0,0,0,75,0,35,0,0,3,20,7,276,711,3,0,11,24,23,80,6,0,0,0,0,276,3,40,136,0,0,0,0,0,0,1119,0,0,0,87,320
0729e9fcffd1962b7a39b3d93902e0f3,0,56,0,26,0,0,16,0,0,0,0,0,25,0,161,0,0,79,0,100,49,320,90,209,13,0,47,0,37,28,0,11,44,0,39,115,0,59,23,532,198,90,77,466,286,68,489,70,28,131,232,0,0,11,41,0,27,14,0,0,0,0,178,59,0,0,53,0,0,0,58,0,0,0,0,0,0,0
09f70a3943cbdf8905cd01a456c50098,0,0,9,0,0,0,0,0,0,0,0,8,0,0,21,0,0,11,0,70,18,80,52,69,0,11,20,7,18,10,0,0,45,0,45,90,0,0,0,237,0,29,36,209,83,25,295,15,5,102,83,6,0,0,43,10,26,33,0,0,0,0,0,60,0,0,20,72,0,12,0,0,0,0,0,0,0,295
0a78cfc5f61db7e320fd3b2466e8d884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,39,0,31,0,0,274,0,93,153,0,0,0,0,0,0,0,123,0,0,0,103,62,0,609,0,0,0,7,0,0,0,0,0,0,0,0,0,52,105,0,162,0,71,0,0,0,149,49,0,54,0
0aa84d7f105e25afc127f6dd778d8ca6,0,0,0,0,0,0,65,0,32,0,8,0,0,0,0,0,0,0,0,10,7,25,26,69,5,7,4,0,0,0,0,0,0,0,0,6,0,0,0,112,0,45,20,70,57,206,0,19,0,15,73,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0c71d1a914a5652a162cb96453c9c31d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,8,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,135,125,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,40,0,0,0,0
0caff3ea96200df0218aa344b0f3dc1e,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,211,13,470,0,0,0,0,0,0,0,0,89,0,71,46,0,0,0,0,0,72,0,320,15,21,514,0,0,0,0,0,0,114,39,108,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0
0cbb44bb9bc91c77e8f74ad2ace1d58c,3,21,24,0,0,0,0,0,0,0,0,0,0,0,251,18,14,59,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cefc2f0bcb2fe7c323cb28ac235e7d7,11,86,835,121,0,0,139,125,0,0,8,0,0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,38,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d31e3334880aee4eb26713a0e4104a5,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,298,317,0,18,6,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,705,5,236,7,702,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
