ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
0159fbde605b8b7ea2b1304bfd276b82,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp
0167ba52b37db72a6e74b1ffdf1e8c7c,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA
01eac8bbcb29488982fcff6a1bc04847,Fungi,NA,NA,NA,NA,NA,NA
02366a28671be3d5b7de54f132fdabe0,Fungi,NA,NA,NA,NA,NA,NA
0524318733f878058e4606b2306dc1a5,Fungi,NA,NA,NA,NA,NA,NA
06cfcbf25674fdf39cf677004d947765,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
06e6ea6ae4b943568ace88db8128520b,Fungi,NA,NA,NA,NA,NA,NA
06f8d41be81eaee8ce118fd6a6917570,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,NA
0729e9fcffd1962b7a39b3d93902e0f3,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,NA,NA
09f70a3943cbdf8905cd01a456c50098,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Ramularia,Ramularia_collo-cygni
0a78cfc5f61db7e320fd3b2466e8d884,Fungi,NA,NA,NA,NA,NA,NA
0aa84d7f105e25afc127f6dd778d8ca6,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS08,GS08_fam_Incertae_sedis,GS08_gen_Incertae_sedis,GS08_sp
0c71d1a914a5652a162cb96453c9c31d,Fungi,NA,NA,NA,NA,NA,NA
0caff3ea96200df0218aa344b0f3dc1e,Fungi,NA,NA,NA,NA,NA,NA
0cbb44bb9bc91c77e8f74ad2ace1d58c,Fungi,NA,NA,NA,NA,NA,NA
0cefc2f0bcb2fe7c323cb28ac235e7d7,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
0d31e3334880aee4eb26713a0e4104a5,Fungi,NA,NA,NA,NA,NA,NA
0e4a4b1cd4283317ad2fe0dc25a07b9d,Fungi,NA,NA,NA,NA,NA,NA
0e9e31f5b9fc1235aaa1f8238c384a26,Fungi,NA,NA,NA,NA,NA,NA
0f2391ae814368a77e456e4357192e31,Fungi,NA,NA,NA,NA,NA,NA
0f32da71e26972640eb84b6a3fcc774e,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae
10b7a3ca6b1444c66f3b28fed3f26c99,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Clavatospora,Clavatospora_longibrachiata
118c0ccd7f3578d17e0db218e80ec7ba,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,NA,NA
125198c1c805330221b886a492c2c4c6,Fungi,NA,NA,NA,NA,NA,NA
1291d36523a6c20f273c7e5c4496df94,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Sordariomycetes_fam_Incertae_sedis,Stenocladiella,Stenocladiella_neglecta
12b1abb4808bf2b265863e72f762a584,Fungi,NA,NA,NA,NA,NA,NA
1455565e7c2198d1f5f87a6915b8e5a2,Fungi,NA,NA,NA,NA,NA,NA
1949eec497be87ab032fa3316b754479,Fungi,NA,NA,NA,NA,NA,NA
1a4c8a00ffd3e3463eba4bb201d91747,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_hiemalis
1b9d7859cdab8b86d6b8b62f84b1334d,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Naevala,Naevala_sp
1c402e380e09d35cfb2c8852e229f8a9,Fungi,NA,NA,NA,NA,NA,NA
1c44ba6433bec9b7aff23fb35d73b03b,Fungi,NA,NA,NA,NA,NA,NA
1c676f4ebdcb691f888fa38f57182cef,Fungi,NA,NA,NA,NA,NA,NA
