ASV	Kingdom
bac_fad50f143ebd5dfc60066f534061a2e2	d__Bacteria
bac_c32e6d0ebe37ede482abf807f70f1dc6	d__Bacteria
bac_132398ae30585fc78b3f5712f4c1f5ed	d__Bacteria
bac_d8ec847a1b580b973a6d39850b67cff7	d__Bacteria
bac_bb6cffbd750dd68856a8f953f207e12b	d__Bacteria
bac_7ef1a0dae839d9d8f6a042cdf4a6a992	d__Bacteria
bac_7da83bf0ed37b029b57059c335b5e835	d__Bacteria
bac_2df133d83b53d33a81a3fc48ac2075c6	d__Bacteria
bac_ed894aad9c149829ff0253eb2fe043d9	d__Bacteria
bac_2c1b14313bb8fc6f13f02a14ca5e7c50	d__Bacteria
bac_11e801efba707866d1e97aba33566102	d__Bacteria
bac_ebff2c84f781472a24018db9354b867c	d__Bacteria
bac_cc3bbc2fa5dcf3ca93a25f5da49d7d1d	d__Bacteria
bac_554e6ed34da09de9e9a60029b084f4c6	d__Bacteria
bac_5342d4711395d118f0217964e6068eb3	d__Bacteria
bac_3195352ebd3b497af5329b6d9bb0ad49	d__Bacteria
bac_34b00032b86600c60881db7136a38c3d	d__Bacteria
bac_70285f7e5298ef76c6079d23decbae2d	d__Bacteria
bac_ae101a824af3ec1acd53410b8ebf41e7	d__Bacteria
bac_f094f62eb5efc6e4df1c29c7d70371f5	d__Bacteria
bac_f262a1adf251a3a793d3daa235e35e73	d__Bacteria
bac_7faab38ff5285a7d3092e4a36888d786	d__Bacteria
bac_1f8eb803b5d14b958d448f7cba30666c	d__Bacteria
bac_67f48d5e7b609cccc44fe8d22d3dca0a	d__Bacteria
bac_6f545fbcb122ef26d794750b06c0d6a4	d__Bacteria
bac_b841b4a4279c0953f40dd587fb55d892	d__Bacteria
bac_7334acedf2e60af538eaff59e499c2c9	d__Bacteria
bac_b5d5b4257a5f9a836315f5896d4a47da	d__Bacteria
bac_39516e82e7b507c0659c83bbcb780dc5	d__Bacteria
bac_2da924029cfd4c7fe3765b362a915f4a	d__Bacteria
bac_632fb2f5131661bf841197fddaf81998	d__Bacteria
bac_b6d81317326d18e5c954e6eae8820a6a	d__Bacteria
bac_de451fb33ed58e6d3c4dcb950e90284d	d__Bacteria
bac_4352077acff15c3823b28170a84a93cb	d__Bacteria
bac_7e5dc2827132ced28bb83b4c8fa16998	d__Bacteria
bac_5f8b99d96b9fb65e12c944b3f8bd38b9	d__Bacteria
bac_a0a0f1f2185a9b37c030febe9b9496ac	d__Bacteria
bac_9710e4f2e6419b188e30337e34bb3fae	d__Bacteria
bac_89a9315cf654d6b3654d01ece8b68ebd	d__Bacteria
bac_a51e5e904dedc2c23560ac9992d2c856	d__Bacteria
