feature1	feature2	r
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_d8ec847a1b580b973a6d39850b67cff7	0.3531
bac_bb6cffbd750dd68856a8f953f207e12b	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0468
bac_7da83bf0ed37b029b57059c335b5e835	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.1193
bac_2df133d83b53d33a81a3fc48ac2075c6	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4702
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_ed894aad9c149829ff0253eb2fe043d9	0.5436
bac_2c1b14313bb8fc6f13f02a14ca5e7c50	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.6
bac_11e801efba707866d1e97aba33566102	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2794
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_ebff2c84f781472a24018db9354b867c	0.3128
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_cc3bbc2fa5dcf3ca93a25f5da49d7d1d	0.2887
bac_554e6ed34da09de9e9a60029b084f4c6	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.5151
bac_5342d4711395d118f0217964e6068eb3	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0281
bac_3195352ebd3b497af5329b6d9bb0ad49	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.051
bac_70285f7e5298ef76c6079d23decbae2d	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0625
bac_ae101a824af3ec1acd53410b8ebf41e7	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0164
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_f094f62eb5efc6e4df1c29c7d70371f5	-0.1468
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_f262a1adf251a3a793d3daa235e35e73	0.2668
bac_7faab38ff5285a7d3092e4a36888d786	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0697
bac_1f8eb803b5d14b958d448f7cba30666c	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2324
bac_67f48d5e7b609cccc44fe8d22d3dca0a	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3979
bac_6f545fbcb122ef26d794750b06c0d6a4	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.1624
bac_7334acedf2e60af538eaff59e499c2c9	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0946
bac_b5d5b4257a5f9a836315f5896d4a47da	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2347
bac_39516e82e7b507c0659c83bbcb780dc5	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0701
bac_2da924029cfd4c7fe3765b362a915f4a	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.6007
bac_632fb2f5131661bf841197fddaf81998	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.083
bac_b6d81317326d18e5c954e6eae8820a6a	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3604
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_de451fb33ed58e6d3c4dcb950e90284d	0.372
bac_4352077acff15c3823b28170a84a93cb	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.3852
bac_7e5dc2827132ced28bb83b4c8fa16998	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3995
bac_a0a0f1f2185a9b37c030febe9b9496ac	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0228
bac_9710e4f2e6419b188e30337e34bb3fae	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.6135
bac_a51e5e904dedc2c23560ac9992d2c856	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.5139
bac_980733234dec4591bf88651db885514f	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4339
bac_1aecd556d15406a593386710717f99dd	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0903
bac_0949c5c8f7512f748fde872a4a5f3912	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0871
