,Kingdom,Phylum,Class,Order,Family,Genus,Species
Bac001,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac002,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac003,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac004,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac005,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac006,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac007,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac008,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac009,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac010,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac011,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac012,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac013,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac014,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac015,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac016,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac017,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac018,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac019,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac020,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac021,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac022,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac023,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac024,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac025,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac026,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac027,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac028,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac029,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac030,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac031,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac032,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac033,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac034,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac035,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac036,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac037,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac038,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac039,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac040,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac041,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac042,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac043,d__Bacteria,NA,NA,NA,NA,NA,NA
